Book,Treatment,T Type,Treatment filter,AI Name (Rule),Description (Rule),AI filter,Type,Trigger,AggrLevel,Posting Field,D/C,Mapped Account,Account,Account filter,Category,Description,ReversalMethod,StartDate,EndDate,RollingConv,HistAmend,Suppress,RevExclusion,RevFreq,ExcludeFXConv,FXConvDate,Periodic
Treasury,Bond Amortised Cost,Trade,A_TR_Bond AC,Bond_TD_Closing Value Date Principal,Bond Sell Value Date,A_AI_TD_Sell,Trade,Real Time,Trade,Nominal Amount Accounting,Debit,Bond Investment Account AC,01-018 Bond Investment Account AC,A_AC_All,Balance Sheet,,Reverse and Replace,Accounting Value Day,Accounting Value Day,None,No,No,None,Daily,No,,No
Treasury,Bond Amortised Cost,Trade,A_TR_Bond AC,Bond_TD_Closing Value Date Principal,Bond Sell Value Date,A_AI_TD_Sell,Trade,Real Time,Trade,Accounting RPL Minus One BusDay,Credit,Bond RPL On Sale AC,05-006 Bond RPL On Sale AC,A_AC_All,Revenue Sheet,,Reverse and Replace,Accounting Value Day,Accounting Value Day,None,No,No,None,Daily,No,,No
Treasury,Bond Amortised Cost,Trade,A_TR_Bond AC,Bond_TD_Closing Value Date Principal,Bond Sell Value Date,A_AI_TD_Sell,Trade,Real Time,Trade,Accounting Remaining Premium,Debit,Bond Unamortised Premium Discount AC,01-019 Bond Unamortised Premium Discount AC,A_AC_All,Balance Sheet,,Reverse and Replace,Accounting Value Day,Accounting Value Day,None,No,No,None,Daily,No,,No
Treasury,Bond Amortised Cost,Trade,A_TR_Bond AC,Bond_TD_Closing Value Date Principal,Bond Sell Value Date,A_AI_TD_Sell,Trade,Real Time,Trade,Original Premium Accounting,Debit,Cash Accounts Nostro,Cash Accounts Nostro,A_AC_All,Balance Sheet,,Reverse and Replace,Accounting Value Day,Accounting Value Day,None,No,No,None,Daily,No,,No
Treasury,Bond Amortised Cost,Trade,A_TR_Bond AC,Bond_TD_Daily Interest Accrual,Interest Accrued Daily Bond,A_AI_TD_All,Trade,End of Day,Contract Trade Number,Portfolio Accrued Interest,Debit,Bond Interest Accrued AC,01-020 Bond Interest Accrued AC,A_AC_All,Balance Sheet,,Reverse and Replace,Accounting Value Day,Accounting Expiry Day-1 Business Day,Mod. Following,No,No,None,Daily,No,,Yes
Treasury,Bond Amortised Cost,Trade,A_TR_Bond AC,Bond_TD_Daily Interest Accrual,Interest Accrued Daily Bond,A_AI_TD_All,Trade,End of Day,Contract Trade Number,Portfolio Accrued Interest,Credit,Bond Interest Income AC,05-007 Bond Interest Income AC,A_AC_All,Revenue Sheet,,Reverse and Replace,Accounting Value Day,Accounting Expiry Day-1 Business Day,Mod. Following,No,No,None,Daily,No,,Yes
Treasury,Bond Amortised Cost,Trade,A_TR_Bond AC,Bond_TD_Daily Premium/Discount Amortization,Premium/Discount Amortization Daily,A_AI_TD_All,Trade,End of Day,Contract Trade Number,Portfolio Realized Deprec Profit and Loss,Credit,Bond Amortised Discount AC,05-008 Bond Amortised Discount AC,A_AC_Neg,Revenue Sheet,,Reverse and Replace,Accounting Value Day,Accounting Instrument Expiry Date,None,No,No,None,Daily,No,,Yes
Treasury,Bond Amortised Cost,Trade,A_TR_Bond AC,Bond_TD_Daily Premium/Discount Amortization,Premium/Discount Amortization Daily,A_AI_TD_All,Trade,End of Day,Contract Trade Number,Portfolio Realized Deprec Profit and Loss,Credit,Bond Amortised Premium AC,07-001 Bond Amortised Premium AC,A_AC_Pos,Revenue Sheet,,Reverse and Replace,Accounting Value Day,Accounting Instrument Expiry Date,None,No,No,None,Daily,No,,Yes
Treasury,Bond Amortised Cost,Trade,A_TR_Bond AC,Bond_TD_Daily Premium/Discount Amortization,Premium/Discount Amortization Daily,A_AI_TD_All,Trade,End of Day,Contract Trade Number,Portfolio Realized Deprec Profit and Loss,Debit,Bond Unamortised Premium Discount AC,01-019 Bond Unamortised Premium Discount AC,A_AC_All,Balance Sheet,,Reverse and Replace,Accounting Value Day,Accounting Instrument Expiry Date,None,No,No,None,Daily,No,,Yes
Treasury,Bond Amortised Cost,Trade,A_TR_Bond AC,Bond_TD_Trade Date OffBalance,Bond Offbalance Trade Date,A_AI_TD_All,Trade,End of Day,Trade,Original Premium Accounting,Debit,Accounts Payable,03-017 Accounts Payable,A_AC_All,Off Balance Sheet,,Default,Accounting Trade Time,Accounting Trade Time,None,Yes,No,None,Daily,No,,No
Treasury,Bond Amortised Cost,Trade,A_TR_Bond AC,Bond_TD_Trade Date OffBalance,Bond Offbalance Trade Date,A_AI_TD_All,Trade,End of Day,Trade,Original Premium Accounting,Credit,Security Receivable,01-017 Security Receivable,A_AC_All,Off Balance Sheet,,Default,Accounting Trade Time,Accounting Trade Time,None,Yes,No,None,Daily,No,,No
Treasury,Bond Amortised Cost,Trade,A_TR_Bond AC,Bond_TD_Value Date OffBalance,Bond Offbalance Value Date,A_AI_TD_All,Trade,End of Day,Trade,Original Premium Accounting,Credit,Accounts Payable,03-017 Accounts Payable,A_AC_All,Off Balance Sheet,,Default,Accounting Value Day,Accounting Value Day,None,Yes,No,None,Daily,No,,No
Treasury,Bond Amortised Cost,Trade,A_TR_Bond AC,Bond_TD_Value Date OffBalance,Bond Offbalance Value Date,A_AI_TD_All,Trade,End of Day,Trade,Original Premium Accounting,Debit,Security Receivable,01-017 Security Receivable,A_AC_All,Off Balance Sheet,,Default,Accounting Value Day,Accounting Value Day,None,Yes,No,None,Daily,No,,No
Treasury,Bond Amortised Cost,Trade,A_TR_Bond AC,Bond_TD_Value Date Principal,Bond OnBalance Value Date,A_AI_TD_Buy,Trade,Real Time,Trade,Accounting Traded Interest,Credit,Bond Interest Accrued AC,01-020 Bond Interest Accrued AC,A_AC_All,Balance Sheet,,Reverse and Replace,Accounting Value Day,Accounting Value Day,None,No,No,None,Daily,No,,No
Treasury,Bond Amortised Cost,Trade,A_TR_Bond AC,Bond_TD_Value Date Principal,Bond OnBalance Value Date,A_AI_TD_Buy,Trade,Real Time,Trade,Nominal Amount Accounting,Debit,Bond Investment Account AC,01-018 Bond Investment Account AC,A_AC_All,Balance Sheet,,Reverse and Replace,Accounting Value Day,Accounting Value Day,None,No,No,None,Daily,No,,No
Treasury,Bond Amortised Cost,Trade,A_TR_Bond AC,Bond_TD_Value Date Principal,Bond OnBalance Value Date,A_AI_TD_Buy,Trade,Real Time,Trade,Original Premium Discount,Debit,Bond Unamortised Premium Discount AC,01-019 Bond Unamortised Premium Discount AC,A_AC_All,Balance Sheet,,Reverse and Replace,Accounting Value Day,Accounting Value Day,None,No,No,None,Daily,No,,No
Treasury,Bond Amortised Cost,Trade,A_TR_Bond AC,Bond_TD_Value Date Principal,Bond OnBalance Value Date,A_AI_TD_Buy,Trade,Real Time,Trade,Original Premium Accounting,Debit,Cash Accounts Client,Cash Accounts Client,A_AC_Client,Balance Sheet,,Reverse and Replace,Accounting Value Day,Accounting Value Day,None,No,No,None,Daily,No,,No
Treasury,Bond Amortised Cost,Trade,A_TR_Bond AC,Bond_TD_Value Date Principal,Bond OnBalance Value Date,A_AI_TD_Buy,Trade,Real Time,Trade,Original Premium Accounting,Debit,Cash Accounts Nostro,Cash Accounts Nostro,A_AC_Nostro,Balance Sheet,,Reverse and Replace,Accounting Value Day,Accounting Value Day,None,No,No,None,Daily,No,,No
Treasury,Bond FVOCI,Trade,A_TR_Bond FVOCI,Bond_MF_Maturity Date Principal,Bond OnBalance Maturity Date,A_AI_MF_Redemption,Money Flow,Real Time,Contract Trdnbr and Moneyflow,Cash Analysis Projected,Credit,Bond Investment Account FVOCI,01-022 Bond Investment Account FVOCI,A_AC_All,Balance Sheet,,Reverse and Replace,Accounting Moneyflow Pay Day,Accounting Moneyflow Pay Day,None,Yes,No,None,Daily,No,,No
Treasury,Bond FVOCI,Trade,A_TR_Bond FVOCI,Bond_MF_Maturity Date Principal,Bond OnBalance Maturity Date,A_AI_MF_Redemption,Money Flow,Real Time,Contract Trdnbr and Moneyflow,Cash Analysis Projected,Debit,Cash Accounts Client,Cash Accounts Client,A_AC_Client,Balance Sheet,,Reverse and Replace,Accounting Moneyflow Pay Day,Accounting Moneyflow Pay Day,None,Yes,No,None,Daily,No,,No
Treasury,Bond FVOCI,Trade,A_TR_Bond FVOCI,Bond_MF_Maturity Date Principal,Bond OnBalance Maturity Date,A_AI_MF_Redemption,Money Flow,Real Time,Contract Trdnbr and Moneyflow,Cash Analysis Projected,Debit,Cash Accounts Nostro,Cash Accounts Nostro,A_AC_Nostro,Balance Sheet,,Reverse and Replace,Accounting Moneyflow Pay Day,Accounting Moneyflow Pay Day,None,Yes,No,None,Daily,No,,No
Treasury,Bond FVOCI,Trade,A_TR_Bond FVOCI,Bond_MF_Pay Date Interest Settlement,Interest Settlement,A_AI_MF_Coupon,Money Flow,Real Time,Contract Trade Number,Cash Analysis Projected,Credit,Bond Interest Income FVOCI,05-011 Bond Interest Income FVOCI,A_AC_All,Revenue Sheet,,Reverse and Replace,Accounting Moneyflow Pay Day,Accounting Moneyflow Pay Day,None,Yes,No,None,Daily,No,,No
Treasury,Bond FVOCI,Trade,A_TR_Bond FVOCI,Bond_MF_Pay Date Interest Settlement,Interest Settlement,A_AI_MF_Coupon,Money Flow,Real Time,Contract Trade Number,Cash Analysis Projected,Debit,Cash Accounts Client,Cash Accounts Client,A_AC_Client,Balance Sheet,,Reverse and Replace,Accounting Moneyflow Pay Day,Accounting Moneyflow Pay Day,None,Yes,No,None,Daily,No,,No
Treasury,Bond FVOCI,Trade,A_TR_Bond FVOCI,Bond_MF_Pay Date Interest Settlement,Interest Settlement,A_AI_MF_Coupon,Money Flow,Real Time,Contract Trade Number,Cash Analysis Projected,Debit,Cash Accounts Nostro,Cash Accounts Nostro,A_AC_Nostro,Balance Sheet,,Reverse and Replace,Accounting Moneyflow Pay Day,Accounting Moneyflow Pay Day,None,Yes,No,None,Daily,No,,No
Treasury,Bond FVOCI,Trade,A_TR_Bond FVOCI,Bond_TD_Closing Value Date Principal,Bond Sell Value Date,A_AI_TD_Sell,Trade,Real Time,Trade,Accounting Traded Interest,Credit,Bond Interest Accrued FVOCI,01-024 Bond Interest Accrued FVOCI,A_AC_All,Balance Sheet,,Reverse and Replace,Accounting Value Day,Accounting Value Day,None,No,No,None,Daily,No,,No
Treasury,Bond FVOCI,Trade,A_TR_Bond FVOCI,Bond_TD_Closing Value Date Principal,Bond Sell Value Date,A_AI_TD_Sell,Trade,Real Time,Trade,Nominal Amount Accounting,Debit,Bond Investment Account FVOCI,01-022 Bond Investment Account FVOCI,A_AC_All,Balance Sheet,,Reverse and Replace,Accounting Value Day,Accounting Value Day,None,No,No,None,Daily,No,,No
Treasury,Bond FVOCI,Trade,A_TR_Bond FVOCI,Bond_TD_Closing Value Date Principal,Bond Sell Value Date,A_AI_TD_Sell,Trade,Real Time,Trade,Accounting RPL Minus One BusDay,Credit,Bond RPL On Sale FVOCI,05-010 Bond RPL On Sale FVOCI,A_AC_All,Revenue Sheet,,Reverse and Replace,Accounting Value Day,Accounting Value Day,None,No,No,None,Daily,No,,No
Treasury,Bond FVOCI,Trade,A_TR_Bond FVOCI,Bond_TD_Closing Value Date Principal,Bond Sell Value Date,A_AI_TD_Sell,Trade,Real Time,Trade,Accounting Remaining Premium,Debit,Bond Unamortised Premium Discount FVOCI,01-023 Bond Unamortised Premium Discount FVOCI,A_AC_All,Balance Sheet,,Reverse and Replace,Accounting Value Day,Accounting Value Day,None,No,No,None,Daily,No,,No
Treasury,Bond FVOCI,Trade,A_TR_Bond FVOCI,Bond_TD_Closing Value Date Principal,Bond Sell Value Date,A_AI_TD_Sell,Trade,Real Time,Trade,Original Premium Accounting,Debit,Cash Accounts Nostro,Cash Accounts Nostro,A_AC_All,Balance Sheet,,Reverse and Replace,Accounting Value Day,Accounting Value Day,None,No,No,None,Daily,No,,No
Treasury,Bond FVOCI,Trade,A_TR_Bond FVOCI,Bond_TD_Daily Interest Accrual,Interest Accrued Daily Bond,A_AI_TD_All,Trade,End of Day,Contract Trade Number,Portfolio Accrued Interest,Debit,Bond Interest Accrued FVOCI,01-024 Bond Interest Accrued FVOCI,A_AC_All,Balance Sheet,,Reverse and Replace,Accounting Value Day,Accounting Expiry Day-1 Business Day,Mod. Following,No,No,None,Daily,No,,Yes
Treasury,Bond FVOCI,Trade,A_TR_Bond FVOCI,Bond_TD_Daily Interest Accrual,Interest Accrued Daily Bond,A_AI_TD_All,Trade,End of Day,Contract Trade Number,Portfolio Accrued Interest,Credit,Bond Interest Income FVOCI,05-011 Bond Interest Income FVOCI,A_AC_All,Revenue Sheet,,Reverse and Replace,Accounting Value Day,Accounting Expiry Day-1 Business Day,Mod. Following,No,No,None,Daily,No,,Yes
Treasury,Bond FVOCI,Trade,A_TR_Bond FVOCI,Bond_TD_Daily MtM Trade Contract Ref BUPL,Daily reval of bond positions,A_AI_TD_All,Trade,End of Day,Contract Trade Number,Portfolio Book Unrealized Profit and Loss,Debit,Bond UPL BS FVOCI,01-021 Bond UPL BS FVOCI,A_AC_All,Balance Sheet,,Reverse and Replace,Accounting Value Day,Accounting Instrument Expiry Date,None,No,No,None,Daily,No,,Yes
Treasury,Bond FVOCI,Trade,A_TR_Bond FVOCI,Bond_TD_Daily MtM Trade Contract Ref BUPL,Daily reval of bond positions,A_AI_TD_All,Trade,End of Day,Contract Trade Number,Portfolio Book Unrealized Profit and Loss,Credit,Bond UPL PL FVOCI,05-009 Bond UPL PL FVOCI,A_AC_All,Revenue Sheet,,Reverse and Replace,Accounting Value Day,Accounting Instrument Expiry Date,None,No,No,None,Daily,No,,Yes
Treasury,Bond FVOCI,Trade,A_TR_Bond FVOCI,Bond_TD_Daily Premium/Discount Amortization,Premium/Discount Amortization Daily,A_AI_TD_All,Trade,End of Day,Contract Trade Number,Portfolio Realized Deprec Profit and Loss,Credit,Bond Amortised Discount FVOCI,05-012 Bond Amortised Discount FVOCI,A_AC_Neg,Revenue Sheet,,Reverse and Replace,Accounting Value Day,Accounting Instrument Expiry Date,None,No,No,None,Daily,No,,Yes
Treasury,Bond FVOCI,Trade,A_TR_Bond FVOCI,Bond_TD_Daily Premium/Discount Amortization,Premium/Discount Amortization Daily,A_AI_TD_All,Trade,End of Day,Contract Trade Number,Portfolio Realized Deprec Profit and Loss,Credit,Bond Amortised Premium FVOCI,07-002 Bond Amortised Premium FVOCI,A_AC_Pos,Revenue Sheet,,Reverse and Replace,Accounting Value Day,Accounting Instrument Expiry Date,None,No,No,None,Daily,No,,Yes
Treasury,Bond FVOCI,Trade,A_TR_Bond FVOCI,Bond_TD_Daily Premium/Discount Amortization,Premium/Discount Amortization Daily,A_AI_TD_All,Trade,End of Day,Contract Trade Number,Portfolio Realized Deprec Profit and Loss,Debit,Bond Unamortised Premium Discount FVOCI,01-023 Bond Unamortised Premium Discount FVOCI,A_AC_All,Balance Sheet,,Reverse and Replace,Accounting Value Day,Accounting Instrument Expiry Date,None,No,No,None,Daily,No,,Yes
Treasury,Bond FVOCI,Trade,A_TR_Bond FVOCI,Bond_TD_Trade Date OffBalance,Bond Offbalance Trade Date,A_AI_TD_All,Trade,End of Day,Trade,Original Premium Accounting,Debit,Accounts Payable,03-017 Accounts Payable,A_AC_All,Off Balance Sheet,,Default,Accounting Trade Time,Accounting Trade Time,None,Yes,No,None,Daily,No,,No
Treasury,Bond FVOCI,Trade,A_TR_Bond FVOCI,Bond_TD_Trade Date OffBalance,Bond Offbalance Trade Date,A_AI_TD_All,Trade,End of Day,Trade,Original Premium Accounting,Credit,Security Receivable,01-017 Security Receivable,A_AC_All,Off Balance Sheet,,Default,Accounting Trade Time,Accounting Trade Time,None,Yes,No,None,Daily,No,,No
Treasury,Bond FVOCI,Trade,A_TR_Bond FVOCI,Bond_TD_Value Date OffBalance,Bond Offbalance Value Date,A_AI_TD_All,Trade,End of Day,Trade,Original Premium Accounting,Credit,Accounts Payable,03-017 Accounts Payable,A_AC_All,Off Balance Sheet,,Default,Accounting Value Day,Accounting Value Day,None,Yes,No,None,Daily,No,,No
Treasury,Bond FVOCI,Trade,A_TR_Bond FVOCI,Bond_TD_Value Date OffBalance,Bond Offbalance Value Date,A_AI_TD_All,Trade,End of Day,Trade,Original Premium Accounting,Debit,Security Receivable,01-017 Security Receivable,A_AC_All,Off Balance Sheet,,Default,Accounting Value Day,Accounting Value Day,None,Yes,No,None,Daily,No,,No
Treasury,Bond FVOCI,Trade,A_TR_Bond FVOCI,Bond_TD_Value Date Principal,Bond OnBalance Value Date,A_AI_TD_Buy,Trade,Real Time,Trade,Accounting Traded Interest,Credit,Bond Interest Accrued FVOCI,01-024 Bond Interest Accrued FVOCI,A_AC_All,Balance Sheet,,Reverse and Replace,Accounting Value Day,Accounting Value Day,None,No,No,None,Daily,No,,No
Treasury,Bond FVOCI,Trade,A_TR_Bond FVOCI,Bond_TD_Value Date Principal,Bond OnBalance Value Date,A_AI_TD_Buy,Trade,Real Time,Trade,Nominal Amount Accounting,Debit,Bond Investment Account FVOCI,01-022 Bond Investment Account FVOCI,A_AC_All,Balance Sheet,,Reverse and Replace,Accounting Value Day,Accounting Value Day,None,No,No,None,Daily,No,,No
Treasury,Bond FVOCI,Trade,A_TR_Bond FVOCI,Bond_TD_Value Date Principal,Bond OnBalance Value Date,A_AI_TD_Buy,Trade,Real Time,Trade,Original Premium Discount,Debit,Bond Unamortised Premium Discount FVOCI,01-023 Bond Unamortised Premium Discount FVOCI,A_AC_All,Balance Sheet,,Reverse and Replace,Accounting Value Day,Accounting Value Day,None,No,No,None,Daily,No,,No
Treasury,Bond FVOCI,Trade,A_TR_Bond FVOCI,Bond_TD_Value Date Principal,Bond OnBalance Value Date,A_AI_TD_Buy,Trade,Real Time,Trade,Original Premium Accounting,Debit,Cash Accounts Client,Cash Accounts Client,A_AC_Client,Balance Sheet,,Reverse and Replace,Accounting Value Day,Accounting Value Day,None,No,No,None,Daily,No,,No
Treasury,Bond FVOCI,Trade,A_TR_Bond FVOCI,Bond_TD_Value Date Principal,Bond OnBalance Value Date,A_AI_TD_Buy,Trade,Real Time,Trade,Original Premium Accounting,Debit,Cash Accounts Nostro,Cash Accounts Nostro,A_AC_Nostro,Balance Sheet,,Reverse and Replace,Accounting Value Day,Accounting Value Day,None,No,No,None,Daily,No,,No
Treasury,Bond FVTPL,Trade,A_TR_Bond FVTPL,Bond_MF_Maturity Date Principal,Bond OnBalance Maturity Date,A_AI_MF_Redemption,Money Flow,Real Time,Contract Trdnbr and Moneyflow,Cash Analysis Projected,Credit,Bond Investment Account FVTPL,01-026 Bond Investment Account FVTPL,A_AC_All,Balance Sheet,,Reverse and Replace,Accounting Moneyflow Pay Day,Accounting Moneyflow Pay Day,None,Yes,No,None,Daily,No,,No
Treasury,Bond FVTPL,Trade,A_TR_Bond FVTPL,Bond_MF_Maturity Date Principal,Bond OnBalance Maturity Date,A_AI_MF_Redemption,Money Flow,Real Time,Contract Trdnbr and Moneyflow,Cash Analysis Projected,Debit,Cash Accounts Client,Cash Accounts Client,A_AC_Client,Balance Sheet,,Reverse and Replace,Accounting Moneyflow Pay Day,Accounting Moneyflow Pay Day,None,Yes,No,None,Daily,No,,No
Treasury,Bond FVTPL,Trade,A_TR_Bond FVTPL,Bond_MF_Maturity Date Principal,Bond OnBalance Maturity Date,A_AI_MF_Redemption,Money Flow,Real Time,Contract Trdnbr and Moneyflow,Cash Analysis Projected,Debit,Cash Accounts Nostro,Cash Accounts Nostro,A_AC_Nostro,Balance Sheet,,Reverse and Replace,Accounting Moneyflow Pay Day,Accounting Moneyflow Pay Day,None,Yes,No,None,Daily,No,,No
Treasury,Bond FVTPL,Trade,A_TR_Bond FVTPL,Bond_MF_Pay Date Interest Settlement,Interest Settlement,A_AI_MF_Coupon,Money Flow,Real Time,Contract Trade Number,Cash Analysis Projected,Credit,Bond Interest Income FVTPL,05-015 Bond Interest Income FVTPL,A_AC_All,Revenue Sheet,,Reverse and Replace,Accounting Moneyflow Pay Day,Accounting Moneyflow Pay Day,None,Yes,No,None,Daily,No,,No
Treasury,Bond FVTPL,Trade,A_TR_Bond FVTPL,Bond_MF_Pay Date Interest Settlement,Interest Settlement,A_AI_MF_Coupon,Money Flow,Real Time,Contract Trade Number,Cash Analysis Projected,Debit,Cash Accounts Client,Cash Accounts Client,A_AC_Client,Balance Sheet,,Reverse and Replace,Accounting Moneyflow Pay Day,Accounting Moneyflow Pay Day,None,Yes,No,None,Daily,No,,No
Treasury,Bond FVTPL,Trade,A_TR_Bond FVTPL,Bond_MF_Pay Date Interest Settlement,Interest Settlement,A_AI_MF_Coupon,Money Flow,Real Time,Contract Trade Number,Cash Analysis Projected,Debit,Cash Accounts Nostro,Cash Accounts Nostro,A_AC_Nostro,Balance Sheet,,Reverse and Replace,Accounting Moneyflow Pay Day,Accounting Moneyflow Pay Day,None,Yes,No,None,Daily,No,,No
Treasury,Bond FVTPL,Trade,A_TR_Bond FVTPL,Bond_TD_Closing Value Date Principal,Bond Sell Value Date,A_AI_TD_Sell,Trade,Real Time,Trade,Accounting Traded Interest,Credit,Bond Interest Accrued FVTPL,01-028 Bond Interest Accrued FVTPL,A_AC_All,Balance Sheet,,Reverse and Replace,Accounting Value Day,Accounting Value Day,None,No,No,None,Daily,No,,No
Treasury,Bond FVTPL,Trade,A_TR_Bond FVTPL,Bond_TD_Closing Value Date Principal,Bond Sell Value Date,A_AI_TD_Sell,Trade,Real Time,Trade,Nominal Amount Accounting,Debit,Bond Investment Account FVTPL,01-026 Bond Investment Account FVTPL,A_AC_All,Balance Sheet,,Reverse and Replace,Accounting Value Day,Accounting Value Day,None,No,No,None,Daily,No,,No
Treasury,Bond FVTPL,Trade,A_TR_Bond FVTPL,Bond_TD_Closing Value Date Principal,Bond Sell Value Date,A_AI_TD_Sell,Trade,Real Time,Trade,Accounting RPL Minus One BusDay,Credit,Bond RPL On Sale FVTPL,05-014 Bond RPL On Sale FVTPL,A_AC_All,Revenue Sheet,,Reverse and Replace,Accounting Value Day,Accounting Value Day,None,No,No,None,Daily,No,,No
Treasury,Bond FVTPL,Trade,A_TR_Bond FVTPL,Bond_TD_Closing Value Date Principal,Bond Sell Value Date,A_AI_TD_Sell,Trade,Real Time,Trade,Accounting Remaining Premium,Debit,Bond Unamortised Premium Discount FVTPL,01-027 Bond Unamortised Premium Discount FVTPL,A_AC_All,Balance Sheet,,Reverse and Replace,Accounting Value Day,Accounting Value Day,None,No,No,None,Daily,No,,No
Treasury,Bond FVTPL,Trade,A_TR_Bond FVTPL,Bond_TD_Closing Value Date Principal,Bond Sell Value Date,A_AI_TD_Sell,Trade,Real Time,Trade,Original Premium Accounting,Debit,Cash Accounts Nostro,Cash Accounts Nostro,A_AC_All,Balance Sheet,,Reverse and Replace,Accounting Value Day,Accounting Value Day,None,No,No,None,Daily,No,,No
Treasury,Bond FVTPL,Trade,A_TR_Bond FVTPL,Bond_TD_Daily Interest Accrual,Interest Accrued Daily Bond,A_AI_TD_All,Trade,End of Day,Contract Trade Number,Portfolio Accrued Interest,Debit,Bond Interest Accrued FVTPL,01-028 Bond Interest Accrued FVTPL,A_AC_All,Balance Sheet,,Reverse and Replace,Accounting Value Day,Accounting Expiry Day-1 Business Day,Mod. Following,No,No,None,Daily,No,,Yes
