ACCOUNT,,,,,,,,,,,,,,,,,,,,,,/ACCOUNT
PTYNBR.PTYID,NAME,CURR.INSID,ACCOUNT_TYPE,NETWORK_ALIAS_TYPE.ALIAS_TYPE_NAME,SUB_NETWORK_CHLNBR.LIST,SUB_NETWORK_CHLNBR.ENTRY,NETWORK_ALIAS_SEQNBR.PTYNBR.PTYID,NETWORK_ALIAS_SEQNBR.TYPE.ALIAS_TYPE_NAME,NETWORK_ALIAS_SEQNBR.ALIAS,CORRESPONDENT_BANK_PTYNBR.PTYID,ACCOUNT,BIC_SEQNBR.PTYNBR.PTYID,BIC_SEQNBR.TYPE.ALIAS_TYPE_NAME,BIC_SEQNBR.ALIAS,CORRESPONDENT_BANK2_PTYNBR.PTYID,ACCOUNT2,BIC2_SEQNBR.PTYNBR.PTYID,BIC2_SEQNBR.TYPE.ALIAS_TYPE_NAME,BIC2_SEQNBR.ALIAS,DEPOSITORY,DEPOSITORY2,
Counterparty 1,CP1_SEC_GBP_CHASUS33,GBP,Security,SWIFT,,,Counterparty 1,SWIFT,CPTIIDJAXXX,Correspondent Bank 1 (J.P.MORGAN US),1007,Correspondent Bank 1 (J.P.MORGAN US),SWIFT,CHASUS33,,,,,,NOSTRO,11020100,
Counterparty 1,CP1_SEC_USD_CHASUS33,USD,Security,SWIFT,,,Counterparty 1,SWIFT,CPTIIDJAXXX,Correspondent Bank 1 (J.P.MORGAN US),1004,Correspondent Bank 1 (J.P.MORGAN US),SWIFT,CHASUS33,Correspondent Bank 2 (DEUTSCHE BANK NY),1005,Correspondent Bank 2 (DEUTSCHE BANK NY),SWIFT,BKTRUS33,NOSTRO,11020100,
Counterparty 1,CP1_USD_CHASUS33,USD,Cash,SWIFT,,,Counterparty 1,SWIFT,CPTIIDJAXXX,Correspondent Bank 1 (J.P.MORGAN US),1001,Correspondent Bank 1 (J.P.MORGAN US),SWIFT,CHASUS33,Correspondent Bank 2 (DEUTSCHE BANK NY),1002,Correspondent Bank 2 (DEUTSCHE BANK NY),SWIFT,BKTRUS33,NOSTRO,11020100,
Counterparty 1,CP1_USD_CHASUS33_OVERACT,USD,Cash,OverAccount,,,Counterparty 1,OverAccount,CPTIIDJAXXX,Correspondent Bank 1 (J.P.MORGAN US),1021,Correspondent Bank 1 (J.P.MORGAN US),OverAccount,CHASUS33,,,,,,NOSTRO,11020100,
Counterparty 1,CP1_USD_BKTRUS33,USD,Cash,SWIFT,,,Counterparty 1,SWIFT,CPTIIDJAXXX,Correspondent Bank 2 (DEUTSCHE BANK NY),1013,Correspondent Bank 2 (DEUTSCHE BANK NY),SWIFT,BKTRUS33,,,,,,NOSTRO,11020100,
Counterparty 2,CP2_EUR_CHASUS33,EUR,Cash,SWIFT,,,Counterparty 2,SWIFT,CPTWIDJAXXX,Correspondent Bank 1 (J.P.MORGAN US),2016,Correspondent Bank 1 (J.P.MORGAN US),SWIFT,CHASUS33,,,,,,NOSTRO,11020100,
Counterparty 2,CP2_EUR_COBADEFF,EUR,Cash,SWIFT,,,Counterparty 2,SWIFT,CPTWIDJAXXX,Correspondent Bank 3 (COMMERZBANK),2010,Correspondent Bank 3 (COMMERZBANK),SWIFT,COBADEFF,,,,,,NOSTRO,11020100,
Counterparty 2,CP2_SEC_EUR_CHASUS33,EUR,Security,SWIFT,,,Counterparty 2,SWIFT,CPTWIDJAXXX,Correspondent Bank 1 (J.P.MORGAN US),2007,Correspondent Bank 1 (J.P.MORGAN US),SWIFT,CHASUS33,,,,,,NOSTRO,11020100,
Counterparty 2,CP2_SEC_USD_CHASUS33,USD,Security,SWIFT,,,Counterparty 2,SWIFT,CPTWIDJAXXX,Correspondent Bank 1 (J.P.MORGAN US),2004,Correspondent Bank 1 (J.P.MORGAN US),SWIFT,CHASUS33,,,,,,NOSTRO,11020100,
Counterparty 2,CP2_USD_CHASUS33,USD,Cash,SWIFT,,,Counterparty 2,SWIFT,CPTWIDJAXXX,Correspondent Bank 1 (J.P.MORGAN US),2013,Correspondent Bank 1 (J.P.MORGAN US),SWIFT,CHASUS33,,,,,,NOSTRO,11020100,
Counterparty 2,CP2_USD_COBADEFF,USD,Cash,SWIFT,,,Counterparty 2,SWIFT,CPTWIDJAXXX,Correspondent Bank 3 (COMMERZBANK),/FW2001,Correspondent Bank 3 (COMMERZBANK),SWIFT,COBADEFF,,,,,,NOSTRO,11020100,
