Trade,,Mod. Following,FX_TD_Expiry Date OffBalance Principal,Accounting Instrument Expiry Date,,End of Day,,FX_TD_Expiry Date OffBalance Principal,Daily,Reverse and Replace,Accounting Instrument Expiry Date,,Trade,SendToEMAS,Yes,,Credit,FX_TD_Expiry Date OffBalance Principal|Nominal Amount Accounting|Credit,Nominal Amount Accounting,,
,,,,,,,,,,,,,,,,,Debit,FX_TD_Expiry Date OffBalance Principal|Nominal Amount Accounting|Debit,Nominal Amount Accounting,,
,,,,,,,,,,,,,,,,,Debit,FX_TD_Expiry Date OffBalance Principal|Nominal Amount Accounting Currency 2|Debit,Nominal Amount Accounting Currency 2,,
,,,,,,,,,,,,,,,,,Credit,FX_TD_Expiry Date OffBalance Principal|Nominal Amount Accounting Currency 2|Credit,Nominal Amount Accounting Currency 2,,
Contract Trade Number,,Mod. Following,FX_MF_Value Date Principal,Accounting Moneyflow Value Day,,End of Day,,FX_MF_Value Date Principal,Daily,Reverse and Replace,Accounting Moneyflow Value Day,,Money Flow,SendToEMAS,Yes,,Debit,FX_MF_Value Date Principal|Cash Analysis Projected|Debit,Cash Analysis Projected,,
,,,,,,,,,,,,,,,,,Credit,FX_MF_Value Date Principal|Cash Analysis Projected|Credit,Cash Analysis Projected,,
Trade,,Mod. Following,FX_MF_Settle Date Payout,Accounting Moneyflow Pay Day,,End of Day,,FX_MF_Settle Date Payout,Daily,Reverse and Replace,Accounting Moneyflow Pay Day,,Money Flow,SendToEMAS,Yes,,Debit,FX_MF_Settle Date Payout|Cash Analysis Projected|Debit,Cash Analysis Projected,,
,,,,,,,,,,,,,,,,,Credit,FX_MF_Settle Date Payout|Cash Analysis Projected|Credit,Cash Analysis Projected,,
Contract Trdnbr and Moneyflow,,Mod. Following,Bond_MF_Pay Date Settlement Principal,Accounting Moneyflow Pay Day,,End of Day,,Bond_MF_Pay Date Settlement Principal,Daily,Reverse and Replace,Accounting Moneyflow Pay Day,,Money Flow,SendToEMAS,Yes,,Debit,Bond_MF_Pay Date Settlement Principal|Cash Analysis Projected|Debit,Cash Analysis Projected,,
,,,,,,,,,,,,,,,,,Credit,Bond_MF_Pay Date Settlement Principal|Cash Analysis Projected|Credit,Cash Analysis Projected,,
Trade,,Mod. Following,Bond FVTPL_TD_Trade Date Buy,Accounting Trade Time,,End of Day,,Bond FVTPL_TD_Trade Date Buy,Daily,Default,Accounting Trade Time,,Trade,SendToEMAS,Yes,,Debit,Bond FVTPL_TD_Trade Date Buy|Trade Premium Dv|Debit,Trade Premium Dv,,
,,,,,,,,,,,,,,,,,Credit,Bond FVTPL_TD_Trade Date Buy|Trade Premium Dv|Credit,Trade Premium Dv,,
Contract Trade Number,,Mod. Following,Bond_TD_Daily MtM Trade Contract Ref BUPL,Accounting Instrument End Date Minus One Day,,End of Day,,Bond_TD_Daily MtM Trade Contract Ref BUPL,Daily,Reverse and Replace,Accounting Trade Time,Yes,Trade,SendToEMAS,Yes,,Debit,Bond_TD_Daily MtM Trade Contract Ref BUPL|Portfolio Book Unrealized Profit and Loss|Debit,Portfolio Book Unrealized Profit and Loss,,
,,,,,,,,,,,,,,,,,Credit,Bond_TD_Daily MtM Trade Contract Ref BUPL|Portfolio Book Unrealized Profit and Loss|Credit,Portfolio Book Unrealized Profit and Loss,,
Contract Trade Number,,Mod. Following,Bond_TD_Daily Premium/Discount Amortization,Accounting Expiry Day-1 Business Day,,End of Day,,Bond_TD_Daily Premium/Discount Amortization,Daily,Reverse and Replace,Accounting Value Day,Yes,Trade,SendToEMAS,Yes,,Debit,Bond_TD_Daily Premium/Discount Amortization|Portfolio Realized Deprec P/L split by Price|Debit,Portfolio Realized Deprec P/L split by Price,,
,,,,,,,,,,,,,,,,,Credit,Bond_TD_Daily Premium/Discount Amortization|Portfolio Realized Deprec P/L split by Price|Credit,Portfolio Realized Deprec P/L split by Price,,
Contract Trade Number,,Mod. Following,Bond_TD_Daily Interest Accrual,Accounting Instrument End Date Minus One Day,,End of Day,,Bond_TD_Daily Interest Accrual,Daily,Reverse and Replace,Accounting Value Day,Yes,Trade,SendToEMAS,Yes,,Debit,Bond_TD_Daily Interest Accrual|Accounting Accrued Interest FI|Debit,Accounting Accrued Interest FI,,
,,,,,,,,,,,,,,,,,Credit,Bond_TD_Daily Interest Accrual|Accounting Accrued Interest FI|Credit,Accounting Accrued Interest FI,,
Contract Trade Number,,Mod. Following,Bond_MF_Pay Date Interest,Accounting Moneyflow Pay Day,,End of Day,,Bond_MF_Pay Date Interest,Daily,Reverse and Replace,Accounting Moneyflow Pay Day,,Money Flow,SendToEMAS,Yes,,Credit,Bond_MF_Pay Date Interest|Cash Analysis Projected|Credit,Cash Analysis Projected,,
,,,,,,,,,,,,,,,,,Debit,Bond_MF_Pay Date Interest|Cash Analysis Projected|Debit,Cash Analysis Projected,,
Contract Trade Number,,Mod. Following,FX Option_TD_Daily Mark to Market,Accounting Expiry Day-1 Business Day,,End of Day,,FX Option_TD_Daily Mark to Market,Daily,Reverse and Replace,Accounting Trade Time,,Trade,SendToEMAS,Yes,,Debit,FX Option_TD_Daily Mark to Market|Portfolio Theoretical Value Acc Curr|Debit,Portfolio Theoretical Value Acc Curr,,
,,,,,,,,,,,,,,,,,Credit,FX Option_TD_Daily Mark to Market|Portfolio Theoretical Value Acc Curr|Credit,Portfolio Theoretical Value Acc Curr,,
Trade,,Mod. Following,FX Option_TD_Trade Date OffBalance Principal,Accounting Trade Time,,End of Day,,FX Option_TD_Trade Date OffBalance Principal,Daily,Reverse and Replace,Accounting Trade Time,,Trade,SendToEMAS,Yes,,Debit,FX Option_TD_Trade Date OffBalance Principal|Nominal Amount FXO Call|Debit,Nominal Amount FXO Call,,
,,,,,,,,,,,,,,,,,Debit,FX Option_TD_Trade Date OffBalance Principal|Nominal Amount FXO Put|Debit,Nominal Amount FXO Put,,
,,,,,,,,,,,,,,,,,Credit,FX Option_TD_Trade Date OffBalance Principal|Nominal Amount FXO Call|Credit,Nominal Amount FXO Call,,
,,,,,,,,,,,,,,,,,Credit,FX Option_TD_Trade Date OffBalance Principal|Nominal Amount FXO Put|Credit,Nominal Amount FXO Put,,
Contract Trade Number,,Mod. Following,FX Option_TD_Maturity Date OffBalance Principal,Accounting Instrument Expiry Date,,End of Day,,FX Option_TD_Maturity Date OffBalance Principal,Daily,Reverse and Replace,Accounting Instrument Expiry Date,,Trade,SendToEMAS,Yes,,Credit,FX Option_TD_Maturity Date OffBalance Principal|Nominal Amount FXO Call|Credit,Nominal Amount FXO Call,,
,,,,,,,,,,,,,,,,,Debit,FX Option_TD_Maturity Date OffBalance Principal|Nominal Amount FXO Call|Debit,Nominal Amount FXO Call,,
,,,,,,,,,,,,,,,,,Debit,FX Option_TD_Maturity Date OffBalance Principal|Nominal Amount FXO Put|Debit,Nominal Amount FXO Put,,
,,,,,,,,,,,,,,,,,Credit,FX Option_TD_Maturity Date OffBalance Principal|Nominal Amount FXO Put|Credit,Nominal Amount FXO Put,,
Contract Trade Number,,Mod. Following,FX_TD_Daily Mark-to-Market,Accounting Value Day,,End of Day,,FX_TD_Daily Mark-to-Market,Daily,Reverse and Replace,Accounting Trade Time,,Trade,SendToEMAS,Yes,,Debit,FX_TD_Daily Mark-to-Market|Portfolio Unrealized Profit and Loss Acc Curr|Debit,Portfolio Unrealized Profit and Loss Acc Curr,,
,,,,,,,,,,,,,,,,,Credit,FX_TD_Daily Mark-to-Market|Portfolio Unrealized Profit and Loss Acc Curr|Credit,Portfolio Unrealized Profit and Loss Acc Curr,,
Contract Trade Number,,Mod. Following,FX_TD_Daily Mark-to-Market NDF,Accounting Instrument Expiry Date,,End of Day,,FX_TD_Daily Mark-to-Market NDF,Daily,Reverse and Replace,Accounting Trade Time,,Trade,SendToEMAS,Yes,,Debit,FX_TD_Daily Mark-to-Market NDF|Portfolio Unrealized Profit and Loss IDR|Debit,Portfolio Unrealized Profit and Loss IDR,,
,,,,,,,,,,,,,,,,,Credit,FX_TD_Daily Mark-to-Market NDF|Portfolio Unrealized Profit and Loss IDR|Credit,Portfolio Unrealized Profit and Loss IDR,,
Contract Trade Number,,Mod. Following,CCS/IRS_TD_Daily Mark to Market,Accounting Instrument Expiry Date,,End of Day,,CCS/IRS_TD_Daily Mark to Market,Daily,Reverse and Replace,Accounting Trade Time,,Trade,SendToEMAS,Yes,,Credit,CCS/IRS_TD_Daily Mark to Market|Accounting MtM less Accrued Interest Acc Curr|Credit,Accounting MtM less Accrued Interest Acc Curr,,
,,,,,,,,,,,,,,,,,Debit,CCS/IRS_TD_Daily Mark to Market|Accounting MtM less Accrued Interest Acc Curr|Debit,Accounting MtM less Accrued Interest Acc Curr,,
Contract Trade Number,,Mod. Following,CCS/IRS_MF_Pay Date Interest_Pay,Accounting Moneyflow Pay Day,,End of Day,,CCS/IRS_MF_Pay Date Interest_Pay,Daily,Reverse and Replace,Accounting Moneyflow Pay Day,,Money Flow,SendToEMAS,Yes,,Credit,CCS/IRS_MF_Pay Date Interest_Pay|Cash Analysis Projected|Credit,Cash Analysis Projected,,
,,,,,,,,,,,,,,,,,Debit,CCS/IRS_MF_Pay Date Interest_Pay|Cash Analysis Projected|Debit,Cash Analysis Projected,,
Trade,,Mod. Following,CCS/IRS_MF_Pay Date Termination Fee,Accounting Moneyflow Pay Day,,End of Day,,CCS/IRS_MF_Pay Date Termination Fee,Daily,Reverse and Replace,Accounting Moneyflow Pay Day,,Money Flow,FxRevalAICatFeeType,Termination Fee,,Credit,CCS/IRS_MF_Pay Date Termination Fee|Cash Analysis Projected|Credit,Cash Analysis Projected,,
,,,,,,,,,,,,,,FxRevalAICat,MoneyFlow,,Debit,CCS/IRS_MF_Pay Date Termination Fee|Cash Analysis Projected|Debit,Cash Analysis Projected,,
,,,,,,,,,,,,,,SendToEMAS,Yes,,,,,,
Contract Trade Number,,Mod. Following,DepoLoan_MF_Pay Date Interest PL,Accounting Moneyflow Pay Day,,End of Day,,DepoLoan_MF_Pay Date Interest PL,Daily,Reverse and Replace,Accounting Moneyflow Pay Day,,Money Flow,SendToEMAS,Yes,,Debit,DepoLoan_MF_Pay Date Interest PL|PSAK FI Interest Income|Debit,PSAK FI Interest Income,,
,,,,,,,,,,,,,,,,,Credit,DepoLoan_MF_Pay Date Interest PL|PSAK FI Interest Income|Credit,PSAK FI Interest Income,,
Trade,,Mod. Following,DepoLoan_MF_Maturity Date Principal,Accounting Moneyflow Pay Day,,End of Day,,DepoLoan_MF_Maturity Date Principal,Daily,Reverse and Replace,Accounting Moneyflow Pay Day,,Money Flow,SendToEMAS,Yes,,Debit,DepoLoan_MF_Maturity Date Principal|Cash Analysis Projected|Debit,Cash Analysis Projected,,
,,,,,,,,,,,,,,,,,Credit,DepoLoan_MF_Maturity Date Principal|Cash Analysis Projected|Credit,Cash Analysis Projected,,
Contract Trade Number,,Mod. Following,DepoLoan_TD_Daily Interest Accrual,Accounting Expiry Day-1 Business Day,,End of Day,,DepoLoan_TD_Daily Interest Accrual,Daily,Reverse and Replace,Accounting Value Day,Yes,Trade,SendToEMAS,Yes,,Debit,DepoLoan_TD_Daily Interest Accrual|Accounting Accrued Interest FI|Debit,Accounting Accrued Interest FI,,
,,,,,,,,,,,,,,,,,Credit,DepoLoan_TD_Daily Interest Accrual|Accounting Accrued Interest FI|Credit,Accounting Accrued Interest FI,,
Trade,,Mod. Following,DepoLoan_MF_Value Date Principal,Accounting Moneyflow Pay Day,,End of Day,,DepoLoan_MF_Value Date Principal,Daily,Reverse and Replace,Accounting Moneyflow Pay Day,,Money Flow,SendToEMAS,Yes,,Credit,DepoLoan_MF_Value Date Principal|Cash Analysis Projected|Credit,Cash Analysis Projected,,
,,,,,,,,,,,,,,,,,Debit,DepoLoan_MF_Value Date Principal|Cash Analysis Projected|Debit,Cash Analysis Projected,,
Trade,,Mod. Following,DepoLoan_MF_Trade Date Offbalance Principal,Accounting Moneyflow Trade Time,,End of Day,,DepoLoan_MF_Trade Date Offbalance Principal,Daily,Reverse and Replace,Accounting Moneyflow Trade Time,,Money Flow,SendToEMAS,Yes,,Debit,DepoLoan_MF_Trade Date Offbalance Principal|Cash Analysis Projected|Debit,Cash Analysis Projected,,
,,,,,,,,,,,,,,,,,Credit,DepoLoan_MF_Trade Date Offbalance Principal|Cash Analysis Projected|Credit,Cash Analysis Projected,,
Trade,,Mod. Following,DepoLoan_MF_Value Date Offbalance Principal,Accounting Moneyflow Pay Day,,End of Day,,DepoLoan_MF_Value Date Offbalance Principal,Daily,Reverse and Replace,Accounting Moneyflow Pay Day,,Money Flow,SendToEMAS,Yes,,Credit,DepoLoan_MF_Value Date Offbalance Principal|Cash Analysis Projected|Credit,Cash Analysis Projected,,
,,,,,,,,,,,,,,,,,Debit,DepoLoan_MF_Value Date Offbalance Principal|Cash Analysis Projected|Debit,Cash Analysis Projected,,
Contract Trade Number,,Mod. Following,Repo_MF_Value Date Principal,Accounting Moneyflow Pay Day,,End of Day,,Repo_MF_Value Date Principal,Daily,Reverse and Replace,Accounting Moneyflow Pay Day,,Money Flow,SendToEMAS,Yes,,Debit,Repo_MF_Value Date Principal|Cash Analysis Projected|Debit,Cash Analysis Projected,,
,,,,,,,,,,,,,,,,,Credit,Repo_MF_Value Date Principal|Cash Analysis Projected|Credit,Cash Analysis Projected,,
Contract Trade Number,,Mod. Following,Repo_MF_Maturity Date Principal,Accounting Moneyflow Pay Day,,End of Day,,Repo_MF_Maturity Date Principal,Daily,Reverse and Replace,Accounting Moneyflow Pay Day,,Money Flow,SendToEMAS,Yes,,Credit,Repo_MF_Maturity Date Principal|Cash Analysis Projected|Credit,Cash Analysis Projected,,
,,,,,,,,,,,,,,,,,Debit,Repo_MF_Maturity Date Principal|Cash Analysis Projected|Debit,Cash Analysis Projected,,
Contract Trade Number,,Mod. Following,Repo_TD_Daily Interest Accrual,Accounting Expiry Day-1 Business Day,,End of Day,,Repo_TD_Daily Interest Accrual,Daily,Reverse and Replace,Accounting Value Day,Yes,Trade,SendToEMAS,Yes,,Debit,Repo_TD_Daily Interest Accrual|Accounting Accrued Interest FI|Debit,Accounting Accrued Interest FI,,
,,,,,,,,,,,,,,,,,Credit,Repo_TD_Daily Interest Accrual|Accounting Accrued Interest FI|Credit,Accounting Accrued Interest FI,,
Contract Trade Number,,Mod. Following,Repo_MF_Pay Date Interest PL,Accounting Moneyflow Pay Day,,End of Day,,Repo_MF_Pay Date Interest PL,Daily,Reverse and Replace,Accounting Moneyflow Pay Day,,Money Flow,SendToEMAS,Yes,,Credit,Repo_MF_Pay Date Interest PL|PSAK FI Interest Income|Credit,PSAK FI Interest Income,,
,,,,,,,,,,,,,,,,,Debit,Repo_MF_Pay Date Interest PL|PSAK FI Interest Income|Debit,PSAK FI Interest Income,,
Contract Trade Number,,Mod. Following,Repo_MF_Pay Date Collateral Coupon Transfer,Accounting Moneyflow Pay Day,,End of Day,,Repo_MF_Pay Date Collateral Coupon Transfer,Daily,Reverse and Replace,Accounting Moneyflow Pay Day,,Money Flow,SendToEMAS,Yes,,Debit,Repo_MF_Pay Date Collateral Coupon Transfer|Cash Analysis Projected|Debit,Cash Analysis Projected,,
,,,,,,,,,,,,,,,,,Credit,Repo_MF_Pay Date Collateral Coupon Transfer|Cash Analysis Projected|Credit,Cash Analysis Projected,,
Contract Trade Number,,Mod. Following,Bond Forward_TD_Daily MtM Contract,Accounting Expiry Day-1 Business Day,,End of Day,,Bond Forward_TD_Daily MtM Contract,Daily,Reverse and Replace,Accounting Trade Time,,Trade,SendToEMAS,Yes,,Credit,Bond Forward_TD_Daily MtM Contract|Portfolio Theoretical Value IDR|Credit,Portfolio Theoretical Value IDR,,
,,,,,,,,,,,,,,,,,Debit,Bond Forward_TD_Daily MtM Contract|Portfolio Theoretical Value IDR|Debit,Portfolio Theoretical Value IDR,,
Trade,Yes,Mod. Following,,Accounting Settlement Value Day,,End of Day,,CP_AutoInvest_Premium,Daily,Reverse and Replace,Accounting Settlement Value Day,,Settlement,SendToEMAS,Yes,,Debit,CP_AutoInvest_Premium|Amount|Debit,Amount,,
,,,,,,,,,,,,,,,,,Credit,CP_AutoInvest_Premium|Amount|Credit,Amount,,
Trade,Yes,Mod. Following,,Accounting Settlement Value Day,,End of Day,,CP_Interest Accrued,Daily,Reverse and Replace,Accounting Settlement Value Day,,Settlement,SendToEMAS,Yes,,Debit,CP_Interest Accrued|Amount|Debit,Amount,,
,,,,,,,,,,,,,,,,,Credit,CP_Interest Accrued|Amount|Credit,Amount,,
Trade,Yes,Mod. Following,,Accounting Settlement Value Day,,End of Day,,CP_Interest income,Daily,Reverse and Replace,Accounting Settlement Value Day,,Settlement,SendToEMAS,Yes,,Debit,CP_Interest income|Amount|Debit,Amount,,
,,,,,,,,,,,,,,,,,Credit,CP_Interest income|Amount|Credit,Amount,,
Trade,Yes,Mod. Following,Value Day (Real-Time),Accounting Settlement Value Day,,Real Time,,Value Day (Real-Time),Daily,Reverse and Replace,Accounting Settlement Value Day,,Settlement,,,,Debit,Value Day (Real-Time)|Amount|Debit,Amount,,
,,,,,,,,,,,,,,,,,Credit,Value Day (Real-Time)|Amount|Credit,Amount,,
Contract Trade Number,,Mod. Following,DepoLoan_TD_Daily Interest Accrual_FCY_ACCY,Accounting Expiry Day-1 Business Day,,End of Day,,DepoLoan_TD_Daily Interest Accrual_FCY_ACCY,Daily,Reverse and Replace,Accounting Value Day,Yes,Trade,FxRevalAICat,Instrument,,Debit,DepoLoan_TD_Daily Interest Accrual_FCY_ACCY|PSAK Accrued Acc Curr|Debit,PSAK Accrued Acc Curr,,
,,,,,,,,,,,,,,SendToEMAS,Yes,,Credit,DepoLoan_TD_Daily Interest Accrual_FCY_ACCY|PSAK Accrued Acc Curr|Credit,PSAK Accrued Acc Curr,,
Contract Trade Number,,Mod. Following,DepoLoan_MF_Pay Date Interest PL_FCY_ACCY,Accounting Moneyflow Pay Day,,End of Day,,DepoLoan_MF_Pay Date Interest PL_FCY_ACCY,Daily,Reverse and Replace,Accounting Moneyflow Pay Day,,Money Flow,FxRevalAICatFeeType,FixedFloat,,Debit,DepoLoan_MF_Pay Date Interest PL_FCY_ACCY|PSAK FI Interest Income Acc Curr|Debit,PSAK FI Interest Income Acc Curr,,
,,,,,,,,,,,,,,FxRevalAICat,MoneyFlow,,Credit,DepoLoan_MF_Pay Date Interest PL_FCY_ACCY|PSAK FI Interest Income Acc Curr|Credit,PSAK FI Interest Income Acc Curr,,
,,,,,,,,,,,,,,SendToEMAS,Yes,,,,,,
Trade,Yes,Mod. Following,Value Day (EOD),Accounting Settlement Value Day,,End of Day,,Value Day (EOD),Daily,Reverse and Replace,Accounting Settlement Value Day,,Settlement,SendToEMAS,Yes,,Debit,Value Day (EOD)|Amount|Debit,Amount,,
,,,,,,,,,,,,,,,,,Credit,Value Day (EOD)|Amount|Credit,Amount,,
Moneyflow,,Mod. Following,PSAK_MF_Pay Date Attributable Fee,Accounting Moneyflow Pay Day,,End of Day,,PSAK_MF_Pay Date Attributable Fee,Daily,Reverse and Replace,Accounting Moneyflow Pay Day,,Money Flow,SendToEMAS,Yes,,Debit,PSAK_MF_Pay Date Attributable Fee|Cash Analysis Projected|Debit,Cash Analysis Projected,,
,,,,,,,,,,,,,,,,,Credit,PSAK_MF_Pay Date Attributable Fee|Cash Analysis Projected|Credit,Cash Analysis Projected,,
Contract Trade Number,,Mod. Following,Bond_TD_Daily Attributable Fee Amortization_FCY_ACCY,Accounting Expiry Day-1 Business Day,,End of Day,,Bond_TD_Daily Attributable Fee Amortization_FCY_ACCY,Daily,Reverse and Replace,Accounting Value Day,Yes,Trade,FxRevalAICat,Instrument,,Credit,Bond_TD_Daily Attributable Fee Amortization_FCY_ACCY|Realized Deprec PL split Attributable Fee Acc Curr|Credit,Realized Deprec PL split Attributable Fee Acc Curr,,
,,,,,,,,,,,,,,SendToEMAS,Yes,,Debit,Bond_TD_Daily Attributable Fee Amortization_FCY_ACCY|Realized Deprec PL split Attributable Fee Acc Curr|Debit,Realized Deprec PL split Attributable Fee Acc Curr,,
Contract Trade Number,,Mod. Following,Bond_TD_Daily Attributable Fee Amortization,Accounting Expiry Day-1 Business Day,,End of Day,,Bond_TD_Daily Attributable Fee Amortization,Daily,Reverse and Replace,Accounting Value Day,Yes,Trade,SendToEMAS,Yes,,Credit,Bond_TD_Daily Attributable Fee Amortization|Portfolio Realized Deprec P/L split by Attributable Fee|Credit,Portfolio Realized Deprec P/L split by Attributable Fee,,
,,,,,,,,,,,,,,,,,Debit,Bond_TD_Daily Attributable Fee Amortization|Portfolio Realized Deprec P/L split by Attributable Fee|Debit,Portfolio Realized Deprec P/L split by Attributable Fee,,
Contract Trade Number,,Mod. Following,DepoLoan_TD_Daily Interest Accrual_FCY (NI),Accounting Expiry Day-1 Business Day,,End of Day,,DepoLoan_TD_Daily Interest Accrual_FCY (NI),Daily,Reverse and Replace,Accounting Value Day,Yes,Trade,,,,Credit,DepoLoan_TD_Daily Interest Accrual_FCY (NI)|Accounting Accrued Interest FI|Credit,Accounting Accrued Interest FI,,
,,,,,,,,,,,,,,,,,Debit,DepoLoan_TD_Daily Interest Accrual_FCY (NI)|Accounting Accrued Interest FI|Debit,Accounting Accrued Interest FI,,
Contract Trade Number,,Mod. Following,DepoLoan_MF_Pay Date Interest PL_FCY (NI),Accounting Moneyflow Pay Day,,End of Day,,DepoLoan_MF_Pay Date Interest PL_FCY (NI),Daily,Reverse and Replace,Accounting Moneyflow Pay Day,,Money Flow,FxRevalAICat,MoneyFlow,,Credit,DepoLoan_MF_Pay Date Interest PL_FCY (NI)|PSAK FI Interest Income|Credit,PSAK FI Interest Income,,
,,,,,,,,,,,,,,,,,Debit,DepoLoan_MF_Pay Date Interest PL_FCY (NI)|PSAK FI Interest Income|Debit,PSAK FI Interest Income,,
Contract Trade Number,,Mod. Following,Bond_TD_Daily Attributable Fee Amortization_FCY (NI),Accounting Expiry Day-1 Business Day,,End of Day,,Bond_TD_Daily Attributable Fee Amortization_FCY (NI),Daily,Reverse and Replace,Accounting Value Day,Yes,Trade,,,,Debit,Bond_TD_Daily Attributable Fee Amortization_FCY (NI)|Portfolio Realized Deprec P/L split by Attributable Fee|Debit,Portfolio Realized Deprec P/L split by Attributable Fee,,
,,,,,,,,,,,,,,,,,Credit,Bond_TD_Daily Attributable Fee Amortization_FCY (NI)|Portfolio Realized Deprec P/L split by Attributable Fee|Credit,Portfolio Realized Deprec P/L split by Attributable Fee,,
Trade,,Mod. Following,FX_TD_Trade Date OffBalance Principal,Accounting Trade Time,,End of Day,,FX_TD_Trade Date OffBalance Principal,Daily,Reverse and Replace,Accounting Trade Time,,Trade,SendToEMAS,Yes,,Debit,FX_TD_Trade Date OffBalance Principal|Nominal Amount Accounting|Debit,Nominal Amount Accounting,,
,,,,,,,,,,,,,,,,,Credit,FX_TD_Trade Date OffBalance Principal|Nominal Amount Accounting|Credit,Nominal Amount Accounting,,
,,,,,,,,,,,,,,,,,Debit,FX_TD_Trade Date OffBalance Principal|Nominal Amount Accounting Currency 2|Debit,Nominal Amount Accounting Currency 2,,
,,,,,,,,,,,,,,,,,Credit,FX_TD_Trade Date OffBalance Principal|Nominal Amount Accounting Currency 2|Credit,Nominal Amount Accounting Currency 2,,
Trade,,Mod. Following,FX_MF_Settle Date Payout_FCY_ACCY,Accounting Moneyflow Pay Day,,End of Day,,FX_MF_Settle Date Payout_FCY_ACCY,Daily,Reverse and Replace,Accounting Moneyflow Pay Day,,Money Flow,FxRevalAICatFeeType,Payout,,Credit,FX_MF_Settle Date Payout_FCY_ACCY|PSAK Cash Analysis Projected IDR|Credit,PSAK Cash Analysis Projected IDR,,
,,,,,,,,,,,,,,FxRevalAICat,MoneyFlow,,Debit,FX_MF_Settle Date Payout_FCY_ACCY|PSAK Cash Analysis Projected IDR|Debit,PSAK Cash Analysis Projected IDR,,
,,,,,,,,,,,,,,SendToEMAS,Yes,,,,,,
Trade,,Mod. Following,FX_MF_Settle Date Payout_FCY (NI),Accounting Moneyflow Pay Day,,End of Day,,FX_MF_Settle Date Payout_FCY (NI),Daily,Reverse and Replace,Accounting Moneyflow Pay Day,,Money Flow,,,,Debit,FX_MF_Settle Date Payout_FCY (NI)|Cash Analysis Projected|Debit,Cash Analysis Projected,,
,,,,,,,,,,,,,,,,,Credit,FX_MF_Settle Date Payout_FCY (NI)|Cash Analysis Projected|Credit,Cash Analysis Projected,,
Trade,,Mod. Following,Repo_MF_Trade Date Principal,Accounting Moneyflow Trade Time,,End of Day,,Repo_MF_Trade Date Principal,Daily,Reverse and Replace,Accounting Moneyflow Trade Time,,Money Flow,SendToEMAS,Yes,,Debit,Repo_MF_Trade Date Principal|Cash Analysis Projected|Debit,Cash Analysis Projected,,
,,,,,,,,,,,,,,,,,Credit,Repo_MF_Trade Date Principal|Cash Analysis Projected|Credit,Cash Analysis Projected,,
Moneyflow,,Mod. Following,PSAK_MF_Pay Date WIthholding Tax,Accounting Moneyflow Pay Day,,End of Day,,PSAK_MF_Pay Date WIthholding Tax,Daily,Reverse and Replace,Accounting Moneyflow Pay Day,,Money Flow,SendToEMAS,Yes,,Credit,PSAK_MF_Pay Date WIthholding Tax|Cash Analysis Projected|Credit,Cash Analysis Projected,,
