PRICE,,,,,,,/PRICE
INSADDR.INSID,PTYNBR.PTYID,CURR.INSID,SETTLE,DAY,BITS,HISTORICAL,
USD/IRS/LI3M-F/20Y,internal,USD,3.1888098,11-Oct-22,1280,Yes,
USD/IRS/LI3M-F/25Y,internal,USD,3.543122,11-Oct-22,1280,Yes,
USD/IRS/LI3M-F/30Y,internal,USD,5.314683,11-Oct-22,1280,Yes,
USD/LIBOR/ON,internal,USD,0.166264543,10-Oct-22,1280,Yes,
USD/LIBOR/1W,internal,USD,0.180879921,10-Oct-22,1280,Yes,
USD/LIBOR/1M,internal,USD,0.177956846,10-Oct-22,1280,Yes,
USD/LIBOR/2M,internal,USD,0.15,10-Oct-22,1280,Yes,
USD/LIBOR/3M,internal,USD,0.260894245,10-Oct-22,1280,Yes,
USD/LIBOR/6M,internal,USD,0.302187561,10-Oct-22,1280,Yes,
USD/IRS/LI3M-F/1Y,internal,USD,0.327384473,10-Oct-22,1280,Yes,
USD/IRS/LI3M-F/2Y,internal,USD,0.601179225,10-Oct-22,1280,Yes,
USD/IRS/LI3M-F/3Y,internal,USD,1.026973912,10-Oct-22,1280,Yes,
USD/IRS/LI3M-F/4Y,internal,USD,1.390214779,10-Oct-22,1280,Yes,
USD/IRS/LI3M-F/5Y,internal,USD,1.671024913,10-Oct-22,1280,Yes,
USD/IRS/LI3M-F/6Y,internal,USD,1.908476092,10-Oct-22,1280,Yes,
USD/IRS/LI3M-F/7Y,internal,USD,2.116306771,10-Oct-22,1280,Yes,
USD/IRS/LI3M-F/8Y,internal,USD,2.539178381,10-Oct-22,1280,Yes,
USD/IRS/LI3M-F/9Y,internal,USD,2.708716769,10-Oct-22,1280,Yes,
USD/IRS/LI3M-F/10Y,internal,USD,2.767178282,10-Oct-22,1280,Yes,
USD/IRS/LI3M-F/11Y,internal,USD,2.92307565,10-Oct-22,1280,Yes,
USD/IRS/LI3M-F/12Y,internal,USD,3.11794736,10-Oct-22,1280,Yes,
USD/IRS/LI3M-F/13Y,internal,USD,3.273844728,10-Oct-22,1280,Yes,
USD/IRS/LI3M-F/14Y,internal,USD,3.31281907,10-Oct-22,1280,Yes,
USD/IRS/LI3M-F/15Y,internal,USD,3.410254925,10-Oct-22,1280,Yes,
USD/IRS/LI3M-F/17Y,internal,USD,3.488203609,10-Oct-22,1280,Yes,
USD/IRS/LI3M-F/20Y,internal,USD,3.50769078,10-Oct-22,1280,Yes,
USD/IRS/LI3M-F/25Y,internal,USD,3.8974342,10-Oct-22,1280,Yes,
USD/IRS/LI3M-F/30Y,internal,USD,5.8461513,10-Oct-22,1280,Yes,
USD/LIBOR/ON,internal,USD,0.182890997,9-Oct-22,1280,Yes,
USD/LIBOR/1W,internal,USD,0.198967913,9-Oct-22,1280,Yes,
USD/LIBOR/1M,internal,USD,0.19575253,9-Oct-22,1280,Yes,
USD/LIBOR/2M,internal,USD,0.16,9-Oct-22,1280,Yes,
USD/LIBOR/3M,internal,USD,0.28698367,9-Oct-22,1280,Yes,
USD/LIBOR/6M,internal,USD,0.332406317,9-Oct-22,1280,Yes,
USD/IRS/LI3M-F/1Y,internal,USD,0.36012292,9-Oct-22,1280,Yes,
USD/IRS/LI3M-F/2Y,internal,USD,0.661297148,9-Oct-22,1280,Yes,
USD/IRS/LI3M-F/3Y,internal,USD,1.129671303,9-Oct-22,1280,Yes,
USD/IRS/LI3M-F/4Y,internal,USD,1.529236257,9-Oct-22,1280,Yes,
USD/IRS/LI3M-F/5Y,internal,USD,1.838127405,9-Oct-22,1280,Yes,
USD/IRS/LI3M-F/6Y,internal,USD,2.099323701,9-Oct-22,1280,Yes,
USD/IRS/LI3M-F/7Y,internal,USD,2.327937448,9-Oct-22,1280,Yes,
USD/IRS/LI3M-F/8Y,internal,USD,2.793096219,9-Oct-22,1280,Yes,
USD/IRS/LI3M-F/9Y,internal,USD,2.979588446,9-Oct-22,1280,Yes,
USD/IRS/LI3M-F/10Y,internal,USD,3.04389611,9-Oct-22,1280,Yes,
USD/IRS/LI3M-F/11Y,internal,USD,3.215383215,9-Oct-22,1280,Yes,
USD/IRS/LI3M-F/12Y,internal,USD,3.429742096,9-Oct-22,1280,Yes,
USD/IRS/LI3M-F/13Y,internal,USD,3.601229201,9-Oct-22,1280,Yes,
USD/IRS/LI3M-F/14Y,internal,USD,3.644100977,9-Oct-22,1280,Yes,
USD/IRS/LI3M-F/15Y,internal,USD,3.751280418,9-Oct-22,1280,Yes,
USD/IRS/LI3M-F/17Y,internal,USD,3.83702397,9-Oct-22,1280,Yes,
USD/IRS/LI3M-F/20Y,internal,USD,3.858459858,9-Oct-22,1280,Yes,
USD/IRS/LI3M-F/25Y,internal,USD,4.28717762,9-Oct-22,1280,Yes,
USD/IRS/LI3M-F/30Y,internal,USD,6.43076643,9-Oct-22,1280,Yes,
USD/LIBOR/ON,internal,USD,0.201180097,8-Oct-22,1280,Yes,
USD/LIBOR/1W,internal,USD,0.218864705,8-Oct-22,1280,Yes,
USD/LIBOR/1M,internal,USD,0.215327783,8-Oct-22,1280,Yes,
USD/LIBOR/2M,internal,USD,0.18,8-Oct-22,1280,Yes,
USD/LIBOR/3M,internal,USD,0.315682037,8-Oct-22,1280,Yes,
USD/LIBOR/6M,internal,USD,0.365646948,8-Oct-22,1280,Yes,
USD/IRS/LI3M-F/1Y,internal,USD,0.396135212,8-Oct-22,1280,Yes,
USD/IRS/LI3M-F/2Y,internal,USD,0.727426863,8-Oct-22,1280,Yes,
USD/IRS/LI3M-F/3Y,internal,USD,1.242638433,8-Oct-22,1280,Yes,
USD/IRS/LI3M-F/4Y,internal,USD,1.682159883,8-Oct-22,1280,Yes,
USD/IRS/LI3M-F/5Y,internal,USD,2.021940145,8-Oct-22,1280,Yes,
USD/IRS/LI3M-F/6Y,internal,USD,2.309256071,8-Oct-22,1280,Yes,
USD/IRS/LI3M-F/7Y,internal,USD,2.560731192,8-Oct-22,1280,Yes,
USD/IRS/LI3M-F/8Y,internal,USD,3.072405841,8-Oct-22,1280,Yes,
USD/IRS/LI3M-F/9Y,internal,USD,3.27754729,8-Oct-22,1280,Yes,
USD/IRS/LI3M-F/10Y,internal,USD,3.348285721,8-Oct-22,1280,Yes,
USD/IRS/LI3M-F/11Y,internal,USD,3.536921537,8-Oct-22,1280,Yes,
USD/IRS/LI3M-F/12Y,internal,USD,3.772716306,8-Oct-22,1280,Yes,
USD/IRS/LI3M-F/13Y,internal,USD,3.961352121,8-Oct-22,1280,Yes,
USD/IRS/LI3M-F/14Y,internal,USD,4.008511075,8-Oct-22,1280,Yes,
USD/IRS/LI3M-F/15Y,internal,USD,4.126408459,8-Oct-22,1280,Yes,
USD/IRS/LI3M-F/17Y,internal,USD,4.220726367,8-Oct-22,1280,Yes,
USD/IRS/LI3M-F/20Y,internal,USD,4.244305844,8-Oct-22,1280,Yes,
USD/IRS/LI3M-F/25Y,internal,USD,4.715895382,8-Oct-22,1280,Yes,
USD/IRS/LI3M-F/30Y,internal,USD,7.073843073,8-Oct-22,1280,Yes,
USD/LIBOR/ON,internal,USD,0.221298107,7-Oct-22,1280,Yes,
USD/LIBOR/1W,internal,USD,0.240751175,7-Oct-22,1280,Yes,
USD/LIBOR/1M,internal,USD,0.236860561,7-Oct-22,1280,Yes,
USD/LIBOR/2M,internal,USD,0.18,7-Oct-22,1280,Yes,
USD/LIBOR/3M,internal,USD,0.347250241,7-Oct-22,1280,Yes,
USD/LIBOR/6M,internal,USD,0.402211643,7-Oct-22,1280,Yes,
USD/IRS/LI3M-F/1Y,internal,USD,0.435748733,7-Oct-22,1280,Yes,
USD/IRS/LI3M-F/2Y,internal,USD,0.800169549,7-Oct-22,1280,Yes,
USD/IRS/LI3M-F/3Y,internal,USD,1.366902276,7-Oct-22,1280,Yes,
USD/IRS/LI3M-F/4Y,internal,USD,1.850375871,7-Oct-22,1280,Yes,
USD/IRS/LI3M-F/5Y,internal,USD,2.22413416,7-Oct-22,1280,Yes,
USD/IRS/LI3M-F/6Y,internal,USD,2.540181678,7-Oct-22,1280,Yes,
USD/IRS/LI3M-F/7Y,internal,USD,2.816804312,7-Oct-22,1280,Yes,
USD/IRS/LI3M-F/8Y,internal,USD,3.379646426,7-Oct-22,1280,Yes,
USD/IRS/LI3M-F/9Y,internal,USD,3.60530202,7-Oct-22,1280,Yes,
USD/IRS/LI3M-F/10Y,internal,USD,3.683114293,7-Oct-22,1280,Yes,
USD/IRS/LI3M-F/11Y,internal,USD,3.89061369,7-Oct-22,1280,Yes,
USD/IRS/LI3M-F/12Y,internal,USD,4.149987936,7-Oct-22,1280,Yes,
USD/IRS/LI3M-F/13Y,internal,USD,4.357487333,7-Oct-22,1280,Yes,
USD/IRS/LI3M-F/14Y,internal,USD,4.409362182,7-Oct-22,1280,Yes,
USD/IRS/LI3M-F/15Y,internal,USD,4.539049305,7-Oct-22,1280,Yes,
USD/IRS/LI3M-F/17Y,internal,USD,4.642799004,7-Oct-22,1280,Yes,
USD/IRS/LI3M-F/20Y,internal,USD,4.668736428,7-Oct-22,1280,Yes,
USD/IRS/LI3M-F/25Y,internal,USD,5.18748492,7-Oct-22,1280,Yes,
USD/IRS/LI3M-F/30Y,internal,USD,7.78122738,7-Oct-22,1280,Yes,
USD/LIBOR/ON,internal,USD,0.243427917,6-Oct-22,1280,Yes,
USD/LIBOR/1W,internal,USD,0.264826293,6-Oct-22,1280,Yes,
USD/LIBOR/1M,internal,USD,0.260546618,6-Oct-22,1280,Yes,
USD/LIBOR/2M,internal,USD,0.19,6-Oct-22,1280,Yes,
USD/LIBOR/3M,internal,USD,0.381975265,6-Oct-22,1280,Yes,
USD/LIBOR/6M,internal,USD,0.442432808,6-Oct-22,1280,Yes,
USD/IRS/LI3M-F/1Y,internal,USD,0.479323607,6-Oct-22,1280,Yes,
USD/IRS/LI3M-F/2Y,internal,USD,0.880186504,6-Oct-22,1280,Yes,
USD/IRS/LI3M-F/3Y,internal,USD,1.503592504,6-Oct-22,1280,Yes,
USD/IRS/LI3M-F/4Y,internal,USD,2.035413458,6-Oct-22,1280,Yes,
USD/IRS/LI3M-F/5Y,internal,USD,2.446547575,6-Oct-22,1280,Yes,
USD/IRS/LI3M-F/6Y,internal,USD,2.794199846,6-Oct-22,1280,Yes,
USD/IRS/LI3M-F/7Y,internal,USD,3.098484743,6-Oct-22,1280,Yes,
USD/IRS/LI3M-F/8Y,internal,USD,3.717611068,6-Oct-22,1280,Yes,
USD/IRS/LI3M-F/9Y,internal,USD,3.965832221,6-Oct-22,1280,Yes,
USD/IRS/LI3M-F/10Y,internal,USD,4.051425723,6-Oct-22,1280,Yes,
USD/IRS/LI3M-F/11Y,internal,USD,4.279675059,6-Oct-22,1280,Yes,
USD/IRS/LI3M-F/12Y,internal,USD,4.56498673,6-Oct-22,1280,Yes,
USD/IRS/LI3M-F/13Y,internal,USD,4.793236066,6-Oct-22,1280,Yes,
USD/IRS/LI3M-F/14Y,internal,USD,4.8502984,6-Oct-22,1280,Yes,
USD/IRS/LI3M-F/15Y,internal,USD,4.992954236,6-Oct-22,1280,Yes,
USD/IRS/LI3M-F/17Y,internal,USD,5.107078904,6-Oct-22,1280,Yes,
USD/IRS/LI3M-F/20Y,internal,USD,5.135610071,6-Oct-22,1280,Yes,
USD/IRS/LI3M-F/25Y,internal,USD,5.706233412,6-Oct-22,1280,Yes,
USD/IRS/LI3M-F/30Y,internal,USD,8.559350118,6-Oct-22,1280,Yes,
