CALENDARDATE,,/CALENDARDATE
AUD,2021-01-01,
CNH,2012-01-02,
CNH,2012-01-03,
CNH,2012-01-23,
CNH,2012-01-24,
CNH,2012-01-25,
CNH,2012-01-26,
CNH,2012-01-27,
CNH,2012-02-23,
CNH,2012-02-24,
CNH,2012-04-02,
CNH,2012-04-03,
CNH,2012-04-04,
CNH,2012-04-05,
CNH,2012-04-06,
CNH,2012-04-30,
CNH,2012-05-01,
CNH,2012-05-02,
CNH,2012-05-03,
CNH,2012-05-04,
CNH,2012-06-22,
CNH,2012-10-01,
CNH,2012-10-02,
CNH,2012-10-03,
CNH,2012-10-04,
CNH,2012-10-05,
CNH,2013-01-01,
CNH,2013-01-02,
CNH,2013-01-03,
CNH,2013-02-11,
CNH,2013-02-12,
CNH,2013-02-13,
CNH,2013-02-14,
CNH,2013-02-15,
CNH,2013-04-04,
CNH,2013-04-05,
CNH,2013-04-29,
CNH,2013-04-30,
CNH,2013-05-01,
CNH,2013-06-10,
CNH,2013-06-11,
CNH,2013-06-12,
CNH,2013-09-19,
CNH,2013-09-20,
CNH,2013-10-01,
CNH,2013-10-02,
CNH,2013-10-03,
CNH,2013-10-04,
CNH,2013-10-07,
CNH,2014-01-01,
CNH,2014-01-30,
CNH,2014-01-31,
CNH,2014-02-03,
CNH,2014-02-04,
CNH,2014-02-05,
CNH,2014-02-06,
CNH,2014-04-07,
CNH,2014-05-01,
CNH,2014-05-02,
CNH,2014-06-02,
CNH,2014-09-08,
CNH,2014-10-01,
CNH,2014-10-02,
CNH,2014-10-03,
CNH,2014-10-06,
CNH,2014-10-07,
CNH,2015-01-01,
CNH,2015-01-02,
CNH,2015-02-18,
CNH,2015-02-19,
CNH,2015-02-20,
CNH,2015-02-23,
CNH,2015-02-24,
CNH,2015-04-06,
CNH,2015-05-01,
CNH,2015-06-22,
CNH,2015-09-03,
CNH,2015-09-04,
CNH,2015-10-01,
CNH,2015-10-02,
CNH,2015-10-05,
CNH,2015-10-06,
CNH,2015-10-07,
CNH,2016-01-01,
CNH,2016-02-08,
CNH,2016-02-09,
CNH,2016-02-10,
CNH,2016-02-11,
CNH,2016-02-12,
CNH,2016-04-04,
CNH,2016-05-02,
CNH,2016-06-09,
CNH,2016-06-10,
CNH,2016-09-15,
CNH,2016-09-16,
CNH,2016-10-03,
CNH,2016-10-04,
CNH,2016-10-05,
CNH,2016-10-06,
CNH,2016-10-07,
CNH,2017-01-02,
CNH,2017-01-27,
CNH,2017-01-30,
CNH,2017-01-31,
CNH,2017-02-01,
CNH,2017-02-02,
CNH,2017-04-03,
CNH,2017-04-04,
CNH,2017-05-01,
CNH,2017-05-29,
CNH,2017-05-30,
CNH,2017-10-02,
CNH,2017-10-03,
CNH,2017-10-04,
CNH,2017-10-05,
CNH,2017-10-06,
CNH,2018-01-01,
CNH,2018-02-15,
CNH,2018-02-16,
CNH,2018-02-19,
CNH,2018-02-20,
CNH,2018-02-21,
CNH,2018-04-05,
CNH,2018-04-06,
CNH,2018-04-30,
CNH,2018-05-01,
CNH,2018-06-18,
CNH,2018-09-24,
CNH,2018-10-01,
CNH,2018-10-02,
CNH,2018-10-03,
CNH,2018-10-04,
CNH,2018-10-05,
CNH,2019-01-01,
CNH,2019-02-04,
CNH,2019-02-05,
CNH,2019-02-06,
CNH,2019-02-07,
CNH,2019-02-08,
CNH,2019-04-05,
CNH,2019-05-01,
CNH,2019-05-02,
CNH,2019-05-03,
CNH,2019-06-07,
CNH,2019-09-13,
CNH,2019-10-01,
CNH,2019-10-02,
CNH,2019-10-03,
CNH,2019-10-04,
CNH,2019-10-07,
CNH,2020-01-01,
CNH,2020-01-24,
CNH,2020-01-27,
CNH,2020-01-28,
CNH,2020-01-29,
CNH,2020-01-30,
CNH,2020-04-06,
CNH,2020-05-01,
CNH,2020-05-04,
CNH,2020-05-05,
CNH,2020-06-25,
CNH,2020-06-26,
CNH,2020-10-01,
CNH,2020-10-02,
CNH,2020-10-05,
CNH,2020-10-06,
CNH,2020-10-07,
CNH,2021-01-01,
EUR,2012-04-06,
EUR,2012-04-09,
EUR,2012-05-01,
EUR,2012-12-25,
EUR,2012-12-26,
EUR,2013-01-01,
EUR,2013-03-29,
EUR,2013-04-01,
EUR,2013-05-01,
EUR,2013-12-25,
EUR,2013-12-26,
EUR,2014-01-01,
EUR,2014-04-21,
EUR,2014-12-25,
EUR,2014-12-26,
EUR,2018-01-01,
EUR,2018-03-30,
EUR,2018-04-02,
EUR,2018-05-01,
EUR,2018-12-25,
EUR,2018-12-26,
EUR,2019-01-01,
EUR,2019-04-19,
EUR,2019-04-22,
EUR,2019-05-01,
EUR,2019-12-25,
EUR,2019-12-26,
EUR,2020-01-01,
EUR,2020-04-13,
EUR,2020-12-25,
EUR,2021-01-01,
GBP,2012-01-02,
GBP,2012-04-06,
GBP,2012-04-09,
GBP,2012-05-07,
GBP,2012-06-04,
GBP,2012-06-05,
GBP,2012-08-27,
GBP,2012-12-25,
GBP,2012-12-26,
GBP,2013-01-01,
GBP,2013-03-29,
GBP,2013-04-01,
GBP,2013-05-06,
GBP,2013-05-27,
GBP,2013-08-26,
GBP,2013-12-25,
GBP,2013-12-26,
GBP,2014-01-01,
GBP,2014-04-18,
GBP,2014-04-21,
GBP,2014-05-05,
GBP,2014-05-26,
GBP,2014-08-25,
GBP,2014-12-25,
GBP,2014-12-26,
GBP,2015-01-01,
GBP,2015-04-03,
GBP,2015-04-06,
GBP,2015-05-04,
GBP,2015-05-25,
GBP,2015-08-31,
GBP,2015-12-25,
GBP,2015-12-28,
GBP,2016-01-01,
GBP,2016-03-25,
GBP,2016-03-28,
GBP,2016-05-02,
GBP,2016-05-30,
GBP,2016-08-29,
GBP,2016-12-26,
GBP,2016-12-27,
GBP,2017-01-02,
GBP,2017-04-14,
GBP,2017-04-17,
GBP,2017-05-01,
GBP,2017-05-29,
GBP,2017-08-28,
GBP,2017-12-25,
GBP,2017-12-26,
GBP,2018-01-01,
GBP,2018-03-30,
GBP,2018-04-02,
GBP,2018-05-07,
GBP,2018-05-28,
GBP,2018-08-27,
GBP,2018-12-25,
GBP,2018-12-26,
GBP,2019-01-01,
GBP,2019-04-19,
GBP,2019-04-22,
GBP,2019-05-06,
GBP,2019-05-27,
GBP,2019-08-26,
GBP,2019-12-25,
GBP,2019-12-26,
GBP,2020-01-01,
GBP,2020-04-10,
GBP,2020-04-13,
GBP,2020-05-04,
GBP,2020-05-25,
GBP,2020-08-31,
GBP,2020-12-25,
GBP,2020-12-28,
GBP,2021-01-01,
HKD,2016-01-01,
HKD,2016-02-08,
HKD,2016-02-09,
HKD,2016-02-10,
HKD,2016-03-25,
HKD,2016-03-28,
HKD,2016-04-04,
HKD,2016-05-02,
HKD,2016-06-09,
HKD,2016-07-01,
HKD,2016-09-16,
HKD,2016-10-10,
HKD,2016-12-26,
HKD,2016-12-27,
HKD,2017-01-02,
HKD,2017-01-30,
HKD,2017-01-31,
HKD,2017-04-04,
HKD,2017-04-14,
HKD,2017-04-17,
HKD,2017-05-01,
HKD,2017-05-03,
HKD,2017-05-30,
HKD,2017-10-02,
HKD,2017-10-05,
HKD,2017-12-25,
HKD,2017-12-26,
HKD,2018-01-01,
HKD,2018-02-16,
HKD,2018-02-19,
HKD,2018-03-30,
HKD,2018-04-02,
HKD,2018-04-05,
HKD,2018-05-01,
HKD,2018-05-22,
HKD,2018-06-18,
HKD,2018-07-02,
HKD,2018-09-25,
HKD,2018-10-01,
HKD,2018-10-17,
HKD,2018-12-25,
HKD,2018-12-26,
HKD,2019-01-01,
HKD,2019-02-05,
HKD,2019-02-06,
HKD,2019-02-07,
HKD,2019-04-05,
HKD,2019-04-19,
HKD,2019-04-22,
HKD,2019-05-01,
HKD,2019-05-13,
HKD,2019-06-07,
HKD,2019-07-01,
HKD,2019-10-01,
HKD,2019-10-07,
HKD,2019-12-25,
HKD,2019-12-26,
HKD,2020-01-01,
HKD,2020-01-27,
HKD,2020-01-28,
HKD,2020-04-10,
HKD,2020-04-13,
HKD,2020-04-30,
HKD,2020-05-01,
HKD,2020-06-25,
HKD,2020-07-01,
HKD,2020-10-01,
HKD,2020-10-02,
HKD,2020-10-26,
HKD,2020-12-25,
HKD,2021-01-01,
IDR,2020-01-01,
IDR,2020-03-25,
IDR,2020-04-10,
IDR,2020-05-01,
IDR,2020-05-07,
IDR,2020-05-21,
IDR,2020-05-22,
IDR,2020-05-25,
IDR,2020-06-01,
IDR,2020-07-31,
IDR,2020-08-17,
IDR,2020-08-21,
IDR,2020-10-28,
IDR,2020-12-24,
IDR,2020-12-25,
IDR,2021-01-01,
JPY,2012-01-02,
JPY,2012-01-03,
JPY,2012-01-09,
JPY,2012-03-20,
JPY,2012-04-30,
JPY,2012-05-03,
JPY,2012-05-04,
JPY,2012-07-16,
JPY,2012-09-17,
JPY,2012-10-08,
JPY,2012-11-23,
JPY,2012-12-24,
JPY,2012-12-31,
JPY,2013-01-01,
JPY,2013-01-02,
JPY,2013-01-03,
JPY,2013-01-14,
JPY,2013-02-11,
JPY,2013-03-20,
JPY,2013-03-29,
JPY,2013-04-29,
JPY,2013-05-01,
JPY,2013-05-03,
JPY,2013-05-06,
JPY,2013-07-15,
JPY,2013-08-09,
JPY,2013-09-16,
JPY,2013-09-23,
JPY,2013-10-14,
JPY,2013-11-04,
JPY,2013-12-23,
JPY,2013-12-25,
JPY,2013-12-31,
JPY,2014-01-01,
JPY,2014-01-02,
JPY,2014-01-03,
JPY,2014-01-13,
JPY,2014-02-11,
JPY,2014-03-21,
JPY,2014-04-29,
JPY,2014-05-05,
JPY,2014-05-06,
JPY,2014-07-21,
JPY,2014-09-15,
JPY,2014-09-23,
JPY,2014-10-13,
JPY,2014-11-03,
JPY,2014-11-24,
JPY,2014-12-23,
JPY,2014-12-31,
JPY,2015-01-01,
JPY,2015-01-02,
JPY,2015-01-12,
JPY,2015-02-11,
JPY,2015-04-29,
JPY,2015-05-04,
JPY,2015-05-05,
JPY,2015-05-06,
JPY,2015-07-20,
JPY,2015-09-21,
JPY,2015-09-22,
JPY,2015-09-23,
JPY,2015-10-12,
JPY,2015-11-03,
JPY,2015-11-23,
JPY,2015-12-23,
JPY,2015-12-31,
JPY,2016-01-01,
JPY,2016-01-11,
JPY,2016-02-11,
JPY,2016-03-21,
JPY,2016-04-29,
JPY,2016-05-03,
JPY,2016-05-04,
JPY,2016-05-05,
JPY,2016-07-18,
JPY,2016-08-11,
JPY,2016-09-19,
JPY,2016-09-22,
JPY,2016-10-10,
JPY,2016-11-03,
JPY,2016-11-23,
JPY,2016-12-23,
JPY,2017-01-02,
JPY,2017-01-03,
JPY,2017-01-09,
JPY,2017-03-20,
JPY,2017-05-03,
JPY,2017-05-04,
JPY,2017-05-05,
JPY,2017-07-17,
JPY,2017-08-11,
JPY,2017-09-18,
JPY,2017-10-09,
JPY,2017-11-03,
JPY,2017-11-23,
JPY,2018-01-01,
JPY,2018-01-02,
JPY,2018-01-03,
JPY,2018-01-08,
JPY,2018-02-12,
JPY,2018-03-21,
JPY,2018-04-30,
JPY,2018-05-03,
JPY,2018-05-04,
JPY,2018-07-16,
JPY,2018-09-17,
JPY,2018-09-24,
JPY,2018-10-08,
JPY,2018-11-23,
JPY,2018-12-24,
JPY,2019-01-01,
JPY,2019-01-02,
JPY,2019-01-03,
JPY,2019-01-14,
JPY,2019-02-11,
JPY,2019-03-21,
JPY,2019-04-29,
JPY,2019-04-30,
JPY,2019-05-01,
JPY,2019-05-02,
JPY,2019-05-03,
JPY,2019-05-06,
JPY,2019-07-15,
JPY,2019-08-12,
JPY,2019-09-16,
JPY,2019-09-23,
JPY,2019-10-14,
JPY,2019-10-22,
JPY,2019-11-04,
JPY,2020-01-01,
JPY,2020-01-02,
JPY,2020-01-03,
JPY,2020-01-13,
JPY,2020-02-11,
JPY,2020-02-24,
JPY,2020-03-20,
JPY,2020-04-29,
JPY,2020-05-04,
JPY,2020-05-05,
JPY,2020-05-06,
JPY,2020-07-23,
JPY,2020-07-24,
JPY,2020-08-10,
JPY,2020-09-21,
JPY,2020-09-22,
JPY,2020-11-03,
JPY,2020-11-23,
JPY,2020-12-31,
JPY,2021-01-01,
NZD,2012-01-02,
NZD,2012-01-03,
NZD,2012-01-23,
NZD,2012-01-30,
NZD,2012-02-06,
NZD,2012-04-06,
NZD,2012-04-09,
NZD,2012-04-25,
NZD,2012-06-04,
NZD,2012-10-22,
NZD,2012-12-25,
NZD,2012-12-26,
NZD,2013-01-01,
NZD,2013-01-02,
NZD,2013-01-21,
NZD,2013-01-28,
NZD,2013-02-06,
NZD,2013-03-29,
NZD,2013-04-01,
NZD,2013-04-25,
NZD,2013-06-03,
NZD,2013-10-28,
NZD,2013-12-25,
NZD,2013-12-26,
NZD,2014-01-01,
NZD,2014-01-02,
NZD,2014-01-20,
NZD,2014-01-27,
NZD,2014-02-06,
NZD,2014-04-18,
NZD,2014-04-21,
NZD,2014-04-25,
NZD,2014-06-02,
NZD,2014-10-27,
NZD,2014-12-25,
NZD,2014-12-26,
NZD,2015-01-01,
NZD,2015-01-02,
NZD,2015-01-19,
NZD,2015-01-26,
NZD,2015-02-06,
NZD,2015-04-03,
NZD,2015-04-06,
NZD,2015-04-27,
NZD,2015-06-01,
NZD,2015-10-26,
NZD,2015-12-25,
NZD,2015-12-28,
NZD,2016-01-01,
NZD,2016-01-04,
NZD,2016-01-25,
NZD,2016-02-01,
NZD,2016-02-08,
NZD,2016-03-25,
NZD,2016-03-28,
NZD,2016-04-25,
NZD,2016-06-06,
NZD,2016-10-24,
NZD,2016-12-26,
NZD,2016-12-27,
NZD,2017-01-02,
NZD,2017-01-03,
NZD,2017-01-23,
NZD,2017-01-30,
NZD,2017-02-06,
NZD,2017-04-14,
NZD,2017-04-17,
NZD,2017-04-25,
NZD,2017-06-05,
NZD,2017-10-23,
NZD,2017-12-25,
NZD,2017-12-26,
NZD,2018-01-01,
NZD,2018-01-02,
NZD,2018-01-22,
NZD,2018-01-29,
NZD,2018-02-06,
NZD,2018-03-30,
NZD,2018-04-02,
NZD,2018-04-25,
NZD,2018-06-04,
NZD,2018-10-22,
NZD,2018-12-25,
NZD,2018-12-26,
NZD,2019-01-01,
NZD,2019-01-02,
NZD,2019-01-21,
NZD,2019-01-28,
NZD,2019-02-06,
NZD,2019-04-19,
NZD,2019-04-22,
NZD,2019-04-25,
NZD,2019-06-03,
NZD,2019-10-28,
NZD,2019-12-25,
NZD,2019-12-26,
NZD,2020-01-01,
NZD,2020-01-02,
NZD,2020-01-20,
NZD,2020-01-27,
NZD,2020-02-03,
NZD,2020-02-06,
NZD,2020-03-09,
NZD,2020-03-23,
NZD,2020-04-10,
NZD,2020-04-13,
NZD,2020-04-14,
NZD,2020-06-01,
NZD,2020-09-28,
NZD,2020-10-23,
NZD,2020-10-26,
NZD,2020-11-02,
NZD,2020-11-13,
NZD,2020-11-30,
NZD,2020-12-25,
NZD,2020-12-28,
NZD,2021-01-01,
SGD,2012-01-02,
SGD,2012-01-23,
SGD,2012-01-24,
SGD,2012-04-06,
SGD,2012-05-01,
SGD,2012-08-09,
SGD,2012-08-20,
SGD,2012-10-26,
SGD,2012-11-13,
SGD,2012-12-25,
SGD,2013-01-01,
SGD,2013-02-11,
SGD,2013-02-12,
SGD,2013-03-29,
SGD,2013-05-01,
SGD,2013-05-24,
SGD,2013-08-08,
SGD,2013-08-09,
SGD,2013-10-15,
SGD,2013-11-04,
SGD,2013-12-25,
SGD,2014-01-01,
SGD,2014-01-31,
SGD,2014-04-18,
SGD,2014-05-01,
SGD,2014-05-13,
SGD,2014-07-29,
SGD,2014-10-06,
SGD,2014-10-23,
SGD,2014-12-25,
SGD,2015-01-01,
SGD,2015-02-19,
SGD,2015-02-20,
SGD,2015-04-03,
SGD,2015-05-01,
SGD,2015-06-01,
SGD,2015-08-07,
SGD,2015-08-10,
SGD,2015-09-24,
SGD,2015-11-10,
SGD,2015-11-11,
SGD,2015-12-25,
SGD,2016-01-01,
SGD,2016-02-08,
SGD,2016-02-09,
SGD,2016-03-25,
SGD,2016-05-02,
SGD,2016-07-06,
SGD,2016-07-07,
SGD,2016-08-09,
SGD,2016-09-12,
SGD,2016-09-13,
SGD,2016-10-31,
SGD,2016-12-26,
SGD,2017-01-02,
SGD,2017-01-30,
SGD,2017-04-14,
SGD,2017-05-01,
SGD,2017-05-10,
SGD,2017-06-26,
SGD,2017-08-09,
SGD,2017-09-01,
SGD,2017-10-18,
SGD,2017-10-19,
SGD,2017-12-25,
SGD,2018-01-01,
SGD,2018-02-16,
SGD,2018-03-30,
SGD,2018-05-01,
SGD,2018-05-29,
SGD,2018-06-15,
SGD,2018-08-09,
SGD,2018-08-22,
SGD,2018-11-06,
SGD,2018-12-25,
SGD,2019-01-01,
SGD,2019-02-05,
SGD,2019-02-06,
SGD,2019-04-19,
SGD,2019-05-01,
SGD,2019-05-20,
SGD,2019-06-05,
SGD,2019-08-09,
SGD,2019-08-12,
SGD,2019-10-28,
SGD,2019-12-25,
SGD,2020-01-01,
SGD,2020-01-27,
SGD,2020-04-10,
SGD,2020-05-01,
SGD,2020-05-07,
SGD,2020-05-25,
SGD,2020-07-31,
SGD,2020-08-10,
SGD,2020-12-25,
SGD,2021-01-01,
USD,2012-01-02,
USD,2012-01-16,
USD,2012-02-20,
USD,2012-04-06,
USD,2012-05-28,
USD,2012-07-04,
USD,2012-09-03,
USD,2012-10-08,
USD,2012-11-12,
USD,2012-11-22,
USD,2012-12-25,
USD,2013-01-01,
USD,2013-01-21,
USD,2013-02-18,
USD,2013-03-29,
USD,2013-05-27,
USD,2013-07-04,
USD,2013-09-02,
USD,2013-10-14,
USD,2013-11-11,
USD,2013-11-28,
USD,2013-12-25,
USD,2014-01-01,
USD,2014-01-20,
USD,2014-02-17,
USD,2014-04-18,
USD,2014-05-26,
USD,2014-07-04,
USD,2014-09-01,
USD,2014-10-13,
USD,2014-11-11,
USD,2014-11-27,
USD,2014-12-25,
USD,2015-01-01,
USD,2015-01-19,
USD,2015-02-16,
USD,2015-04-03,
USD,2015-05-25,
USD,2015-07-03,
USD,2015-09-07,
USD,2015-10-12,
USD,2015-11-11,
USD,2015-11-26,
USD,2015-12-25,
USD,2016-01-01,
USD,2016-01-18,
USD,2016-02-15,
USD,2016-03-25,
USD,2016-05-30,
USD,2016-07-04,
USD,2016-09-05,
USD,2016-10-10,
USD,2016-11-11,
USD,2016-11-24,
USD,2016-12-26,
USD,2017-01-02,
USD,2017-01-16,
USD,2017-02-20,
USD,2017-04-14,
USD,2017-05-29,
USD,2017-07-04,
USD,2017-09-04,
USD,2017-10-09,
USD,2017-11-23,
USD,2017-12-25,
USD,2018-01-01,
USD,2018-01-15,
USD,2018-02-19,
USD,2018-03-30,
USD,2018-05-28,
USD,2018-07-04,
USD,2018-09-03,
USD,2018-10-08,
USD,2018-11-12,
USD,2018-11-22,
USD,2018-12-25,
USD,2019-01-01,
USD,2019-01-21,
USD,2019-02-18,
USD,2019-04-19,
USD,2019-05-27,
USD,2019-07-04,
USD,2019-09-02,
USD,2019-10-14,
USD,2019-11-11,
USD,2019-11-28,
USD,2019-12-25,
USD,2020-01-01,
USD,2020-01-20,
USD,2020-02-17,
USD,2020-04-10,
USD,2020-05-25,
USD,2020-07-03,
USD,2020-09-07,
USD,2020-10-12,
USD,2020-11-11,
USD,2020-11-26,
USD,2020-12-25,
USD,2021-01-01,
