,,Commercial 2 BMHK,,,,Commercial 2 BMHK,USD,,FundPortfolio,No,,
,,Commercial 3 BMHK,,,,Commercial 3 BMHK,USD,,FundPortfolio,No,,
,,Commercial 4 BMHK,,,,Commercial 4 BMHK,USD,,FundPortfolio,No,,
,,Commercial 5 BMHK,,,,Commercial 5 BMHK,USD,,FundPortfolio,No,,
,,Commercial 6 BMHK,,,,Commercial 6 BMHK,USD,,FundPortfolio,No,,
,Yes,Bonds BU SAM BMHK,,,,Bonds BU SAM BMHK,USD,,FundPortfolio,No,,
,,SAM 1 BMHK,,,,SAM 1 BMHK,USD,,FundPortfolio,No,,
,,SAM 2 BMHK,,,,SAM 2 BMHK,USD,,FundPortfolio,No,,
,,SAM 3 BMHK,,,,SAM 3 BMHK,USD,,FundPortfolio,No,,
,Yes,LAL BMHK,,,,LAL BMHK,USD,,FundPortfolio,No,,
,,LIQ IB BMHK,,,,LIQ IB BMHK,USD,,FundPortfolio,No,,
,,LIQ MM BMHK,,,,LIQ MM BMHK,USD,,FundPortfolio,No,,
,,ALM Bilateral Loans BMHK,,,,ALM Bilateral Loans BMHK,USD,,FundPortfolio,No,,
,,ALM Bonds Issued BMHK,,,,ALM Bonds Issued BMHK,USD,,FundPortfolio,No,,
,,LIQ NOS BMHK,,,,LIQ NOS BMHK,USD,,FundPortfolio,No,,
,Yes,BMHK -  Client,,,,BMHK -  Client,USD,,FundPortfolio,No,,
,,FX with Customer BMHK,,,,FX with Customer BMHK,USD,,FundPortfolio,No,,
,,Bonds with Customer BMHK,,,,Bonds with Customer BMHK,USD,,FundPortfolio,No,,
,,Derivative with Customer BMHK,,,,Derivative with Customer BMHK,USD,,FundPortfolio,No,,
