,,,,2034-04-07,Good Friday,,
,,,,2034-04-10,Easter Monday,,
,,,,2034-04-25,ANZAC Day,,
,,,,2034-06-05,Queen's Birthday,,
,,,,2034-10-23,Labour Day,,
,,,,2034-12-25,Christmas Day,,
,,,,2034-12-26,Boxing Day,,
,,,,2035-01-01,New Year's Day,,
,,,,2035-01-02,New Year's Obs.,,
,,,,2035-01-29,Auckland Ann. (FX and Money Mkt),,
,,,,2035-02-06,Waitangi Day,,
,,,,2035-03-23,Good Friday,,
,,,,2035-03-26,Easter Monday,,
,,,,2035-04-25,ANZAC Day,,
,,,,2035-06-04,Queen's Birthday,,
,,,,2035-10-22,Labour Day,,
,,,,2035-12-25,Christmas Day,,
,,,,2035-12-26,Boxing Day,,
,,,,2036-01-01,New Year's Day,,
,,,,2036-01-02,New Year's Obs.,,
,,,,2036-01-28,Auckland Ann. (FX and Money Mkt) OBS,,
,,,,2036-02-06,Waitangi Day,,
,,,,2036-04-11,Good Friday,,
,,,,2036-04-14,Easter Monday,,
,,,,2036-04-25,ANZAC Day,,
,,,,2036-06-02,Queen's Birthday,,
,,,,2036-10-27,Labour Day,,
,,,,2036-12-25,Christmas Day,,
,,,,2036-12-26,Boxing Day,,
,,,,2037-01-01,New Year's Day,,
,,,,2037-01-02,New Year's Obs.,,
,,,,2037-02-06,Waitangi Day,,
,,,,2037-04-03,Good Friday,,
,,,,2037-04-06,Easter Monday,,
,,,,2037-04-27,ANZAC Day OBS,,
,,,,2037-06-01,Queen's Birthday,,
,,,,2037-10-26,Labour Day,,
,,,,2037-12-25,Christmas Day,,
,,,,2037-12-28,Boxing Day OBS,,
,,,,2038-01-01,New Year's Day,,
,,,,2038-01-04,New Year's Obs. OBS,,
,,,,2038-02-01,Auckland Ann. (FX and Money Mkt) OBS,,
,,,,2038-02-08,Waitangi Day OBS,,
,,,,2038-04-23,Good Friday,,
,,,,2038-04-26,"ANZAC Day OBS,Easter Monday",,
,,,,2038-06-07,Queen's Birthday,,
,,,,2038-10-25,Labour Day,,
,,,,2038-12-27,Christmas Day OBS,,
,,,,2038-12-28,Boxing Day OBS,,
,,,,2039-01-03,New Year's Day OBS,,
,,,,2039-01-04,New Year's Obs. OBS,,
,,,,2039-01-31,Auckland Ann. (FX and Money Mkt) OBS,,
,,,,2039-02-07,Waitangi Day OBS,,
,,,,2039-04-08,Good Friday,,
,,,,2039-04-11,Easter Monday,,
,,,,2039-04-25,ANZAC Day,,
,,,,2039-06-06,Queen's Birthday,,
,,,,2039-10-24,Labour Day,,
,,,,2039-12-26,Christmas Day OBS,,
,,,,2039-12-27,Boxing Day OBS,,
,,,,2040-01-02,New Year's Day OBS,,
,,,,2040-01-03,New Year's Obs. OBS,,
,,,,2040-01-30,Auckland Ann. (FX and Money Mkt) OBS,,
,,,,2040-02-06,Waitangi Day,,
,,,,2040-03-30,Good Friday,,
,,,,2040-04-02,Easter Monday,,
,,,,2040-04-25,ANZAC Day,,
,,,,2040-06-04,Queen's Birthday,,
,,,,2040-10-22,Labour Day,,
,,,,2040-12-25,Christmas Day,,
,,,,2040-12-26,Boxing Day,,
,,,,2041-01-01,New Year's Day,,
,,,,2041-01-02,New Year's Obs.,,
,,,,2041-01-28,Auckland Ann. (FX and Money Mkt) OBS,,
,,,,2041-02-06,Waitangi Day,,
,,,,2041-04-19,Good Friday,,
,,,,2041-04-22,Easter Monday,,
,,,,2041-04-25,ANZAC Day,,
,,,,2041-06-03,Queen's Birthday,,
,,,,2041-10-28,Labour Day,,
,,,,2041-12-25,Christmas Day,,
,,,,2041-12-26,Boxing Day,,
,,,,2042-01-01,New Year's Day,,
,,,,2042-01-02,New Year's Obs.,,
,,,,2042-01-27,Auckland Ann. (FX and Money Mkt) OBS,,
,,,,2042-02-06,Waitangi Day,,
,,,,2042-04-04,Good Friday,,
,,,,2042-04-07,Easter Monday,,
,,,,2042-04-25,ANZAC Day,,
,,,,2042-06-02,Queen's Birthday,,
,,,,2042-10-27,Labour Day,,
,,,,2042-12-25,Christmas Day,,
,,,,2042-12-26,Boxing Day,,
,,,,2043-01-01,New Year's Day,,
,,,,2043-01-02,New Year's Obs.,,
,,,,2043-02-06,Waitangi Day,,
,,,,2043-03-27,Good Friday,,
,,,,2043-03-30,Easter Monday,,
,,,,2043-04-27,ANZAC Day OBS,,
,,,,2043-06-01,Queen's Birthday,,
,,,,2043-10-26,Labour Day,,
,,,,2043-12-25,Christmas Day,,
,,,,2043-12-28,Boxing Day OBS,,
,,,,2044-01-01,New Year's Day,,
,,,,2044-01-04,New Year's Obs. OBS,,
,,,,2044-02-01,Auckland Ann. (FX and Money Mkt) OBS,,
,,,,2044-02-08,Waitangi Day OBS,,
,,,,2044-04-15,Good Friday,,
,,,,2044-04-18,Easter Monday,,
,,,,2044-04-25,ANZAC Day,,
,,,,2044-06-06,Queen's Birthday,,
,,,,2044-10-24,Labour Day,,
,,,,2044-12-26,Christmas Day OBS,,
,,,,2044-12-27,Boxing Day OBS,,
,,,,2045-01-02,New Year's Day OBS,,
,,,,2045-01-03,New Year's Obs. OBS,,
,,,,2045-01-30,Auckland Ann. (FX and Money Mkt) OBS,,
,,,,2045-02-06,Waitangi Day,,
,,,,2045-04-07,Good Friday,,
,,,,2045-04-10,Easter Monday,,
,,,,2045-04-25,ANZAC Day,,
,,,,2045-06-05,Queen's Birthday,,
,,,,2045-10-23,Labour Day,,
,,,,2045-12-25,Christmas Day,,
,,,,2045-12-26,Boxing Day,,
,,,,2046-01-01,New Year's Day,,
,,,,2046-01-02,New Year's Obs.,,
,,,,2046-01-29,Auckland Ann. (FX and Money Mkt),,
,,,,2046-02-06,Waitangi Day,,
,,,,2046-03-23,Good Friday,,
,,,,2046-03-26,Easter Monday,,
,,,,2046-04-25,ANZAC Day,,
,,,,2046-06-04,Queen's Birthday,,
,,,,2046-10-22,Labour Day,,
,,,,2046-12-25,Christmas Day,,
,,,,2046-12-26,Boxing Day,,
,,,,2047-01-01,New Year's Day,,
,,,,2047-01-02,New Year's Obs.,,
,,,,2047-01-28,Auckland Ann. (FX and Money Mkt) OBS,,
,,,,2047-02-06,Waitangi Day,,
,,,,2047-04-12,Good Friday,,
,,,,2047-04-15,Easter Monday,,
,,,,2047-04-25,ANZAC Day,,
,,,,2047-06-03,Queen's Birthday,,
,,,,2047-10-28,Labour Day,,
,,,,2047-12-25,Christmas Day,,
,,,,2047-12-26,Boxing Day,,
,,,,2032-01-26,,,
,,,,2037-01-26,,,
,,,,2043-01-26,,,
,,,,2048-01-27,,,
,,,,2049-02-01,,,
,,,,2050-01-31,,,
,,,,2051-01-30,,,
,,,,2048-02-06,,,
,,,,2049-02-08,,,
,,,,2050-02-07,,,
,,,,2051-02-06,,,
,,,,2051-03-31,,,
,,,,2048-04-03,,,
,,,,2048-04-06,,,
,,,,2048-04-27,,,
,,,,2049-04-16,,,
,,,,2049-04-19,,,
,,,,2049-04-26,,,
,,,,2050-04-08,,,
,,,,2050-04-11,,,
,,,,2050-04-25,,,
,,,,2051-04-03,,,
,,,,2051-04-25,,,
,,,,2022-06-24,,,
,,,,2024-06-28,,,
,,,,2025-06-20,,,
,,,,2027-06-25,,,
,,,,2030-06-21,,,
,,,,2033-06-24,,,
,,,,2035-06-29,,,
,,,,2038-06-25,,,
,,,,2044-06-24,,,
,,,,2046-06-29,,,
,,,,2048-06-01,,,
,,,,2049-06-07,,,
,,,,2049-06-25,,,
,,,,2050-06-06,,,
,,,,2051-06-05,,,
,,,,2051-06-30,,,
,,,,2023-07-14,,,
,,,,2026-07-10,,,
,,,,2028-07-14,,,
,,,,2029-07-06,,,
,,,,2031-07-11,,,
,,,,2032-07-02,,,
,,,,2034-07-07,,,
,,,,2036-07-18,,,
,,,,2037-07-10,,,
,,,,2039-07-15,,,
,,,,2040-07-06,,,
,,,,2041-07-19,,,
,,,,2042-07-11,,,
,,,,2043-07-03,,,
,,,,2045-07-07,,,
,,,,2047-07-19,,,
,,,,2048-07-03,,,
,,,,2050-07-15,,,
,,,,2049-10-25,,,
,,,,2048-10-26,,,
,,,,2050-10-24,,,
,,,,2051-10-23,,,
,,,,2048-12-25,,,
,,,,2048-12-28,,,
,,,,2049-12-27,,,
,,,,2049-12-28,,,
,,,,2050-12-26,,,
,,,,2050-12-27,,,
,,,,2051-12-25,,,
,,,,2051-12-26,,,
