SETTLEINSTRUCTION,,,,,,,SETTLEINSTRUCTIONRULE,,,,,/SETTLEINSTRUCTIONRULE,/SETTLEINSTRUCTION
Delivery versus Payment,Yes,623,Client 1,!enc!IXppcHghMjc1NCF42pVWy27DIBC85ytQPqC0dxopSppT5DRy2ztxaGUJg4uxVP99BeRhnAWDj8B6hpnZtRcIIUR26/K4P/ZMDUgPLUOvy3XVbGVDa7FcLZB9CO1+eSHPrLueeVeyZUoPtyP2TUrRyFvsoTfOGia0t2YpHFoDEK9OZJLBJ8xqzG2ttUphN+JoSupTr9kszymQVxVHcmjXmlKrWvwk4jlMv2QezFZ9sD+dgWJruhDQpleKiWp4KmjDCHbnovDY4EcuhS+3CgqGJ4oFDMG+I6DT2LM6GIYvyvv0IOSakmtI2IzPcjtnQUz+qPROK6tEUKdDyxTVUqVKVQsN3OKF4FroMIcrCniiqyhnO1plsDjL/sShji1oQbDbhdmMwIDRg73ZAx0IjC1TaUbfZHTi2+wEZmqy9Bmix+S+DXLT9wmzPL0p0tsh3AjhLoDzH0j+XXJzy8mekPMsyUlKDvD7prxjBJvdKaKQ/scVj76u/sZDeqa5ARKTmpVASp69lMD5SE1GWiZS0pCXg2kCHryHXZ/xO8Npz2Orlv1923Daxf/P3Dtn9HJrCV0ZVm1XMq1duGAB7xiejG7Zl/F+Nbd+ybNdXv0DZ1bDAg,CL1_DVP_USD_CHASUS33,Cash and Security,2020-04-29,Client 1,Client 1,CL1_SEC_USD_CHASUS33,CL1_USD_CHASUS33,,
Delivery Free of Payment,Yes,623,Client 1,!enc!IXppcHghMjc1NCF42pVWy27DIBC85yusfEBp7zRSlCanymnqtnfi0MoSBhdjqf77CsjDEMCLj8B6hpnZtRdFURR4t64Or4eByrFQY0eL5+W6bl9ESxq+XC0K82DS/7JSnGh/OfMmRUelGq9HzJukJIm3mENbRlvKlbNmKOw7DZCuBjLJ4BNnNeW2VkpC2E046pLmOCg6y9MHcqrSSBbtUlMp2fAfIJ7FdEvmwUzVB/1TGSimpo8BbQYpKa/Hh5K0FCN7LgmPNH7iUuh8q6hgyFMsYghyHQk6jRyro2H4ImyAByHXlFxD4mZsP9/nLEjJn5TeamWUiOq076gkSkioVA1XgVs8YdRwFedwQQme6GvC6I7UGSxOYjiyUMeWpMTI7obZTMACowc5syd0IDK2dKUefd7oRNfZGZipYOkzRE/JfR3kuu8BsxzeFPB2iDdCvAvC+Y8k/ya5vqW3x8U8S3wUggX4fRPWU4z0ro/IhftxRZOvq7txlx4/N4HEQLMSScmjk5JwPqDJgGUCkoa8HPgJuPM+7PqM3xlOOx4btczv24aRPv1/Zt85o5ddA3RlXLVdRZWy4QoLeMNwZLTLroy3q9n1c57N8uofZzjDAg,CL1_EUR_CHASUS33,Cash,2020-04-29,,Client 1,,CL1_EUR_CHASUS33,,
Delivery Free of Payment,Yes,623,Client 1,!enc!IXppcHghMjc1NCF42pVWy27DIBC85yusfEBp7zRSlCanymnqtnfi0MoSBhdjqf77CsjDEMCLj8B6hpnZtRdFURR4t64Or4eByrFQY0eL5+W6bl9ESxq+XC0K82DS/7JSnGh/OfMmRUelGq9HzJukJIm3mENbRlvKlbNmKOw7DZCuBjLJ4BNnNeW2VkpC2E046pLmOCg6y9MHcqrSSBbtUlMp2fAfIJ7FdEvmwUzVB/1TGSimpo8BbQYpKa/Hh5K0FCN7LgmPNH7iUuh8q6hgyFMsYghyHQk6jRyro2H4ImyAByHXlFxD4mZsP9/nLEjJn5TeamWUiOq076gkSkioVA1XgVs8YdRwFedwQQme6GvC6I7UGSxOYjiyUMeWpMTI7obZTMACowc5syd0IDK2dKUefd7oRNfZGZipYOkzRE/JfR3kuu8BsxzeFPB2iDdCvAvC+Y8k/ya5vqW3x8U8S3wUggX4fRPWU4z0ro/IhftxRZOvq7txlx4/N4HEQLMSScmjk5JwPqDJgGUCkoa8HPgJuPM+7PqM3xlOOx4btczv24aRPv1/Zt85o5ddA3RlXLVdRZWy4QoLeMNwZLTLroy3q9n1c57N8uofZzjDAg,CL1_SEC_EUR_CHASUS33,Security,2020-04-29,Client 1,,CL1_SEC_EUR_CHASUS33,,,
Delivery Free of Payment,Yes,623,Client 1,!enc!IXppcHghMjc1NCF42pVWy27DIBC85ytQPqC0dxopSppT5DRy2ztxaGUJg4uxVP99BeRhnAWDj8B6hpnZtRcIIUR26/K4P/ZMDUgPLUOvy3XVbGVDa7FcLZB9CO1+eSHPrLueeVeyZUoPtyP2TUrRyFvsoTfOGia0t2YpHFoDEK9OZJLBJ8xqzG2ttUphN+JoSupTr9kszymQVxVHcmjXmlKrWvwk4jlMv2QezFZ9sD+dgWJruhDQpleKiWp4KmjDCHbnovDY4EcuhS+3CgqGJ4oFDMG+I6DT2LM6GIYvyvv0IOSakmtI2IzPcjtnQUz+qPROK6tEUKdDyxTVUqVKVQsN3OKF4FroMIcrCniiqyhnO1plsDjL/sShji1oQbDbhdmMwIDRg73ZAx0IjC1TaUbfZHTi2+wEZmqy9Bmix+S+DXLT9wmzPL0p0tsh3AjhLoDzH0j+XXJzy8mekPMsyUlKDvD7prxjBJvdKaKQ/scVj76u/sZDeqa5ARKTmpVASp69lMD5SE1GWiZS0pCXg2kCHryHXZ/xO8Npz2Orlv1923Daxf/P3Dtn9HJrCV0ZVm1XMq1duGAB7xiejG7Zl/F+Nbd+ybNdXv0DZ1bDAg,CL1_SEC_USD_CHASUS33,Security,2020-04-29,Client 1,,CL1_SEC_USD_CHASUS33,,,
Delivery Free of Payment,Yes,623,Client 1,!enc!IXppcHghMjc1NCF42pVWy27DIBC85ytQPqC0dxopSppT5DRy2ztxaGUJg4uxVP99BeRhnAWDj8B6hpnZtRcIIUR26/K4P/ZMDUgPLUOvy3XVbGVDa7FcLZB9CO1+eSHPrLueeVeyZUoPtyP2TUrRyFvsoTfOGia0t2YpHFoDEK9OZJLBJ8xqzG2ttUphN+JoSupTr9kszymQVxVHcmjXmlKrWvwk4jlMv2QezFZ9sD+dgWJruhDQpleKiWp4KmjDCHbnovDY4EcuhS+3CgqGJ4oFDMG+I6DT2LM6GIYvyvv0IOSakmtI2IzPcjtnQUz+qPROK6tEUKdDyxTVUqVKVQsN3OKF4FroMIcrCniiqyhnO1plsDjL/sShji1oQbDbhdmMwIDRg73ZAx0IjC1TaUbfZHTi2+wEZmqy9Bmix+S+DXLT9wmzPL0p0tsh3AjhLoDzH0j+XXJzy8mekPMsyUlKDvD7prxjBJvdKaKQ/scVj76u/sZDeqa5ARKTmpVASp69lMD5SE1GWiZS0pCXg2kCHryHXZ/xO8Npz2Orlv1923Daxf/P3Dtn9HJrCV0ZVm1XMq1duGAB7xiejG7Zl/F+Nbd+ybNdXv0DZ1bDAg,CL1_USD_CHASUS33,Cash,2020-04-29,,Client 1,,CL1_USD_CHASUS33,,
Delivery versus Payment,Yes,623,Counterparty 1,!enc!IXppcHghMjc1NCF42pVWy27DIBC85yusfEBp7zRSlCanymnqtnfi0MoSBhdjqf77CsjDEMCLj8B6hpnZtRdFURR4t64Or4eByrFQY0eL5+W6bl9ESxq+XC0K82DS/7JSnGh/OfMmRUelGq9HzJukJIm3mENbRlvKlbNmKOw7DZCuBjLJ4BNnNeW2VkpC2E046pLmOCg6y9MHcqrSSBbtUlMp2fAfIJ7FdEvmwUzVB/1TGSimpo8BbQYpKa/Hh5K0FCN7LgmPNH7iUuh8q6hgyFMsYghyHQk6jRyro2H4ImyAByHXlFxD4mZsP9/nLEjJn5TeamWUiOq076gkSkioVA1XgVs8YdRwFedwQQme6GvC6I7UGSxOYjiyUMeWpMTI7obZTMACowc5syd0IDK2dKUefd7oRNfZGZipYOkzRE/JfR3kuu8BsxzeFPB2iDdCvAvC+Y8k/ya5vqW3x8U8S3wUggX4fRPWU4z0ro/IhftxRZOvq7txlx4/N4HEQLMSScmjk5JwPqDJgGUCkoa8HPgJuPM+7PqM3xlOOx4btczv24aRPv1/Zt85o5ddA3RlXLVdRZWy4QoLeMNwZLTLroy3q9n1c57N8uofZzjDAg,CP1_DVP_EUR_CHASUS33,Cash and Security,2020-04-29,Counterparty 1,Counterparty 1,CP1_SEC_EUR_CHASUS33,CP1_EUR_CHASUS33,,
Delivery versus Payment,Yes,623,Counterparty 1,!enc!IXppcHghMjc1NCF42pVWy27DIBC85ytQPqC0dxopSppT5DRy2ztxaGUJg4uxVP99BeRhnAWDj8B6hpnZtRcIIUR26/K4P/ZMDUgPLUOvy3XVbGVDa7FcLZB9CO1+eSHPrLueeVeyZUoPtyP2TUrRyFvsoTfOGia0t2YpHFoDEK9OZJLBJ8xqzG2ttUphN+JoSupTr9kszymQVxVHcmjXmlKrWvwk4jlMv2QezFZ9sD+dgWJruhDQpleKiWp4KmjDCHbnovDY4EcuhS+3CgqGJ4oFDMG+I6DT2LM6GIYvyvv0IOSakmtI2IzPcjtnQUz+qPROK6tEUKdDyxTVUqVKVQsN3OKF4FroMIcrCniiqyhnO1plsDjL/sShji1oQbDbhdmMwIDRg73ZAx0IjC1TaUbfZHTi2+wEZmqy9Bmix+S+DXLT9wmzPL0p0tsh3AjhLoDzH0j+XXJzy8mekPMsyUlKDvD7prxjBJvdKaKQ/scVj76u/sZDeqa5ARKTmpVASp69lMD5SE1GWiZS0pCXg2kCHryHXZ/xO8Npz2Orlv1923Daxf/P3Dtn9HJrCV0ZVm1XMq1duGAB7xiejG7Zl/F+Nbd+ybNdXv0DZ1bDAg,CP1_DVP_USD_CHASUS33,Cash and Security,2020-04-29,Counterparty 1,Counterparty 1,CP1_SEC_USD_CHASUS33,CP1_USD_CHASUS33,,
Delivery Free of Payment,,623,Counterparty 1,!enc!IXppcHghMjc1NCF42pVWy27DIBC85yusfEBp7zRSlCanymnqtnfi0MoSBhdjqf77CsjDEMCLj8B6hpnZtRdFURR4t64Or4eByrFQY0eL5+W6bl9ESxq+XC0K82DS/7JSnGh/OfMmRUelGq9HzJukJIm3mENbRlvKlbNmKOw7DZCuBjLJ4BNnNeW2VkpC2E046pLmOCg6y9MHcqrSSBbtUlMp2fAfIJ7FdEvmwUzVB/1TGSimpo8BbQYpKa/Hh5K0FCN7LgmPNH7iUuh8q6hgyFMsYghyHQk6jRyro2H4ImyAByHXlFxD4mZsP9/nLEjJn5TeamWUiOq076gkSkioVA1XgVs8YdRwFedwQQme6GvC6I7UGSxOYjiyUMeWpMTI7obZTMACowc5syd0IDK2dKUefd7oRNfZGZipYOkzRE/JfR3kuu8BsxzeFPB2iDdCvAvC+Y8k/ya5vqW3x8U8S3wUggX4fRPWU4z0ro/IhftxRZOvq7txlx4/N4HEQLMSScmjk5JwPqDJgGUCkoa8HPgJuPM+7PqM3xlOOx4btczv24aRPv1/Zt85o5ddA3RlXLVdRZWy4QoLeMNwZLTLroy3q9n1c57N8uofZzjDAg,CP1_EUR_BKTRUS33,Cash,2020-04-29,,Counterparty 1,,CP1_EUR_BKTRUS33,,
Delivery Free of Payment,Yes,623,Counterparty 1,!enc!IXppcHghMjc1NCF42pVWy27DIBC85yusfEBp7zRSlCanymnqtnfi0MoSBhdjqf77CsjDEMCLj8B6hpnZtRdFURR4t64Or4eByrFQY0eL5+W6bl9ESxq+XC0K82DS/7JSnGh/OfMmRUelGq9HzJukJIm3mENbRlvKlbNmKOw7DZCuBjLJ4BNnNeW2VkpC2E046pLmOCg6y9MHcqrSSBbtUlMp2fAfIJ7FdEvmwUzVB/1TGSimpo8BbQYpKa/Hh5K0FCN7LgmPNH7iUuh8q6hgyFMsYghyHQk6jRyro2H4ImyAByHXlFxD4mZsP9/nLEjJn5TeamWUiOq076gkSkioVA1XgVs8YdRwFedwQQme6GvC6I7UGSxOYjiyUMeWpMTI7obZTMACowc5syd0IDK2dKUefd7oRNfZGZipYOkzRE/JfR3kuu8BsxzeFPB2iDdCvAvC+Y8k/ya5vqW3x8U8S3wUggX4fRPWU4z0ro/IhftxRZOvq7txlx4/N4HEQLMSScmjk5JwPqDJgGUCkoa8HPgJuPM+7PqM3xlOOx4btczv24aRPv1/Zt85o5ddA3RlXLVdRZWy4QoLeMNwZLTLroy3q9n1c57N8uofZzjDAg,CP1_EUR_CHASUS33,Cash,2020-04-29,,Counterparty 1,,CP1_EUR_CHASUS33,,
Delivery Free of Payment,Yes,623,Counterparty 1,!enc!IXppcHghMjc1NCF42pVWy27DIBC85ytQPqC0dxopTeteKidRqt6JQytLGFyMpfrvKyAP4wBefATWM8zMrr1ACCFSrA/7j33P1ID00DL0vFxXzatsaC2WqwWyD6HdLy/liXWXMzslW6b0cD1i36QUTbzFHnrjrGFCe2uWwrY1AOlqIJMMPnFWY25rrRWE3YijKamPvWazPKdAXlUayaFdag5a1eIHiOcw/ZJ5MFv1yf50Boqt6WJAm14pJqrhoaQNI9idS8Jjg5+4FD7fKioYnigWMQT7jgSdxp7V0TB8Ud7Dg5BrSq4hcTPeX3ZzFqTkT0rvtLJKRHXatkxRLRVUqlrowC2eCK6FjnO4oARPdBXlrKBVBouT7I881LElLQl2u2E2I7DA6MHe7AkdiIwtU2lG32R04uvsDMxUsPQZoqfkvg5y0/eAWQ5vCng7xBsh3gXh/EeSf5Pc3HKyJ+Q8S3KUkgf4fVPeMYLN7hRRSP/jikdfV3/jLj3T3AQSA81KJCWPXkrC+YAmA5YJSBrycjBNwJ33Yddn/M5w2vPYqmV/3zacdun/M/fOGb3cGqAr46oVB6a1C1dYwBuGJ6Nb9mW8Xc2tn/Nsl1f/6DDC7w,CP1_GBP_BKTRUS33,Cash,2020-04-29,,Counterparty 1,,CP1_GBP_BKTRUS33,,
